priority,paper,year,survey,area_deg2,bands_um,what_it_gives,best_use,download_or_table,link,notes
1,Clements et al.,2010,H-ATLAS SDP,14.4,250/350/500,Integral and differential SPIRE number counts,Quick external bright-end overplot,Use published table values,https://www.aanda.org/articles/aa/full_html/2010/10/aa14581-10/aa14581-10.html,Good first comparison because Table 1 is compact and already has N(>S) per deg2
2,Pearson et al.,2025,SPIRE Dark Field,0.079-ish inner/deep field plus wider outer region,250/350/500,Deep SPIRE counts from SUSSEXtractor and XID,Deep/faint-end comparison and method caveat,Use Tables 3 and 4 from paper,https://academic.oup.com/mnras/article/539/1/336/8108280,Very deep but small area; use carefully for cosmic variance and selection
3,Valiante et al.,2016,H-ATLAS DR1,161.6,250/350/500,Maps/catalogues and number counts over a wide field,Rare bright-source counts and wide-field SPIRE comparison,Cleaned Tables 5/8/9 stored in valiante_2016_hatlas_dr1_number_counts.csv,https://academic.oup.com/mnras/article/462/3/3146/2589881,Best next H-ATLAS source if we want much larger area than COSMOS; published counts already include inversion/correction work but bin correlations are not included in quoted errors
4,Oliver et al.,2010,HerMES,variable multi-tier fields,250/350/500,HerMES SPIRE differential number-count table,Bridge between deep fields and wide fields,Table 2 is already in starter CSV,https://arxiv.org/pdf/1005.2184,Good comparison set; use direct differential counts rather than the older approximate cumulative conversion
5,Glenn et al.,2010,HerMES SDP,P(D) fields,250/350/500,P(D) fluctuation-analysis differential counts,Deep statistical faint-end constraint,Table 4 no-FIRAS spline already transcribed,https://arxiv.org/abs/1009.5675,Useful but P(D) spline points are model-fit constraints and not fully independent simple source bins
6,Varnish et al.,2025,SPIRE Dark Field II,12 arcmin diameter deep core,250/350/500,P(D) fluctuation-analysis differential count spline,Deepest/faint-end statistical constraint,Table 4 already transcribed,https://arxiv.org/abs/2504.08076,Useful as sensitivity test; keep caveat that P(D) bins are correlated
7,Bethermin et al.,2012,COSMOS/GOODS-N HerMES stacking,stacking below confusion,250/350/500,Deep stacking/prior-based SPIRE counts and redshift-slice counts,Context or future advanced add,Source downloaded; no simple total-count numeric table found yet,https://www.aanda.org/articles/aa/full_html/2012/06/aa18698-11/aa18698-11.html,Useful method/literature support; only add to formal evaluator if a machine-readable numeric count table is found
8,Bethermin et al.,2017,SIDES simulation/model,2 deg2 simulation,far-IR/sub-mm/radio-style observables,Empirical simulated sky / model comparison context,Reference model context rather than observed count table,Read methodology rather than transcribe as observed data,https://www.aanda.org/articles/aa/full_html/2017/11/aa30866-17/aa30866-17.html,Useful because Wang uses SIDES-like simulations and it reproduces counts/P(D)/CIB anisotropies by design
9,Valiante et al.,2010,BLAST SEP,8.7,250/350/500,Older BLAST counts/catalogue,Historical bright-end check,Lower priority,https://ui.adsabs.harvard.edu/abs/2010ApJS..191..222V/abstract,Useful as cited context but Herschel counts are cleaner for current comparison
10,H-ATLAS full/wide releases,various,H-ATLAS full survey,up to about 600+ depending release,250/350/500,Very wide-area source catalogues,Very rare/high-flux tail,Find latest DR catalogue,https://irsa.ipac.caltech.edu/data/Herschel/H-ATLAS/,This is the direction behind the meeting note about about 650 sq deg
