clean_source_key,paper,method_or_table,sky_field,survey_family,approx_area_deg2,role,use_in_clean_chi_square,independence_note,simple_use
Valiante H-ATLAS DR1,Valiante et al.,Table 5 area-weighted GAMA9/12/15,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,161.55,main,yes,Wide H-ATLAS DR1 equatorial fields; use as main bright/wide resolved-count anchor.,Main wide-area bright-end comparison.
Valiante H-ATLAS DR1,Valiante et al.,Table 8 area-weighted GAMA9/12/15,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,161.55,main,yes,Same Valiante sky as Table 5 but different SPIRE band; okay to combine across bands.,Main wide-area bright-end comparison.
Valiante H-ATLAS DR1,Valiante et al.,Table 9 area-weighted GAMA9/12/15,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,161.55,main,yes,Same Valiante sky as Table 5 but different SPIRE band; okay to combine across bands.,Main wide-area bright-end comparison.
Oliver HerMES SDP,Oliver et al.,Table 2,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,19.6,main,yes,Independent survey family from H-ATLAS; published corrected differential counts down to about 20 mJy; effective area changes with flux bin.,Main mid-flux comparison.
Pearson Dark Field XID,Pearson et al.,Table 4 XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,0.20,main,yes,Independent sky from H-ATLAS and HerMES SDP; choose XID table as the deeper list-driven Dark Field product.,Main deep-field comparison.
Clements H-ATLAS SDP,Clements et al.,Table 1,H-ATLAS SDP first about 14 deg2,H-ATLAS,14.0,backup,no,Same broad H-ATLAS family as Valiante and older/smaller; useful sanity check but not independent from Valiante enough for pooled score.,Backup historical bright-end check.
Pearson Dark Field SUSSEX,Pearson et al.,Table 3 SUSSEXtractor,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,0.20,backup,no,Same field/paper as Pearson XID; useful extraction-method sensitivity and not a second independent field.,Backup check against map-based extraction.
Glenn HerMES P(D),Glenn et al.,Table 4 P(D) spline no FIRAS,HerMES SDP fields,HerMES,,sensitivity,no,P(D) knots are correlated model-fit constraints and overlap the HerMES family; useful faint-end sensitivity only.,Below-confusion faint-end context.
Varnish Dark Field P(D),Varnish et al.,Table 4 P(D) best-fit spline,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,0.20,sensitivity,no,Same broad Dark Field family as Pearson and P(D) knots are correlated; useful faint-end sensitivity only.,Below-confusion faint-end context.
Wang COSMOS raw,Wang et al.,raw positive-flux catalogue,COSMOS2020/Farmer selected COSMOS area,COSMOS,1.278,diagnostic,no,Raw deblended photometry catalogue rather than a published corrected count table; use for matched-object residuals and diagnostic plots only.,Matched-object validation and diagnostic counts only.
