paper,year,survey,method_or_table,band_um,flux_mjy,flux_jy,euclidean_best_jy15_deg2,euclidean_err_jy15_deg2,log10_euclidean_best_jy15_deg2,source_n_galaxies,flux_correction,source_differential_value,source_differential_err,source_differential_unit,standard_unit,notes,source_url
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.050119,5.011872e-05,1e-17,8.519564844077968e-17,-17.0,,,-17.0,3.6999999999999993,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.1,0.0001,8.128305e-07,3.986532265877811e-06,-6.09,,,-6.09,2.130000000000001,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.213796,0.0002137962,0.06457748,0.1011126970979624,-1.19,,,-1.19,0.6800000000000002,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.380189,0.0003801894,7.657599,13.559218171949581,0.884,,,0.884,0.769,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.512861,0.0005128614,14.79108,21.21795975766691,1.17,,,1.17,0.6229999999999999,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.870964,0.0008709636,5.15365,1.613873602373192,0.712,,,0.712,0.136,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,1.995262,0.001995262,1.742909,1.4246846800550315,0.241,,,0.241,0.355,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,2.0,0.002,3.2551798548533237,1.7469905081511494,0.5125749891599528,,,7.26,0.23307724041613329,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,4.3,0.0043,4.2040816191813075,1.2129325584036548,0.6236711389489664,,,6.54,0.12529964086141668,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,5.011872,0.005011872,3.837072,0.8923536635824297,0.584,,,0.584,0.10099999999999998,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
