paper,year,survey,method_or_table,band_um,flux_log10_jy,flux_jy,flux_mjy,euclidean_log10_best,euclidean_log10_lower,euclidean_log10_upper,euclidean_best_jy15_deg2,euclidean_lower_jy15_deg2,euclidean_upper_jy15_deg2,unit,notes,source_url
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-4.30,5.011872e-05,0.050119,-17.0,-20.7,-16.5,1.000000e-17,1.995262e-21,3.162278e-17, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-4.00,1.000000e-04,0.100000,-6.09,-8.22,-5.65,8.128305e-07,6.025596e-09,2.238721e-06, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-3.67,2.137962e-04,0.213796,-1.19,-1.87,-0.575,6.457748e-02,1.348963e-02,2.660725e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-3.42,3.801894e-04,0.380189,0.884,0.115,0.772,7.657599e+00,1.303166e+00,5.916694e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-3.29,5.128614e-04,0.512861,1.17,0.547,0.962,1.479108e+01,3.524140e+00,9.164584e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-3.06,8.709636e-04,0.870964,0.712,0.723,0.848,5.153650e+00,5.285417e+00,7.047527e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-2.70,1.995262e-03,1.995262,0.241,0.396,0.596,1.742909e+00,2.488858e+00,3.944573e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-2.30,5.011872e-03,5.011872,0.584,0.483,0.684,3.837072e+00,3.041737e+00,4.830589e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-2.00,1.000000e-02,10.000000,0.911,0.907,0.996,8.146172e+00,8.071497e+00,9.908320e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-1.70,1.995262e-02,19.952623,0.918,0.868,0.996,8.279423e+00,7.378638e+00,9.908320e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-1.35,4.466836e-02,44.668359,0.588,0.588,0.588,3.873282e+00,3.873282e+00,3.873282e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-1.00,1.000000e-01,100.000000,0.0268,0.0268,0.0268,1.063676e+00,1.063676e+00,1.063676e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-0.699,1.998180e-01,199.818036,-0.375,-0.375,-0.375,4.216965e-01,4.216965e-01,4.216965e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,-0.347,4.498433e-01,449.843267,-0.439,-0.439,-0.439,3.638596e-01,3.638596e-01,3.638596e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,0.000,1.000000e+00,1000.000000,-0.290,-0.290,-0.290,5.128614e-01,5.128614e-01,5.128614e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-4.00,1.000000e-04,0.100000,-15.0,-26.8,-16.8,1.000000e-15,1.584893e-27,1.584893e-17, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-3.80,1.584893e-04,0.158489,-2.82,-8.13,-2.74,1.513561e-03,7.413102e-09,1.819701e-03, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-3.55,2.818383e-04,0.281838,1.30,-1.77,1.16,1.995262e+01,1.698244e-02,1.445440e+01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-3.30,5.011872e-04,0.501187,-0.0623,-1.13,0.0868,8.663189e-01,7.413102e-02,1.221030e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-3.00,1.000000e-03,1.000000,-0.900,-1.02,-0.483,1.258925e-01,9.549926e-02,3.288922e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-2.70,1.995262e-03,1.995262,0.0400,-0.216,0.0659,1.096478e+00,6.079207e-01,1.163912e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-2.30,5.011872e-03,5.011872,0.567,0.805,1.01,3.689138e+00,6.382634e+00,1.023293e+01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-2.00,1.000000e-02,10.000000,0.810,0.679,0.747,6.456542e+00,4.775904e+00,5.584326e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
