paper,year,survey,method_or_table,band_um,flux_mjy,log10_dnds_deg2_jyminus1,log10_err_plus,log10_err_minus,log10_sys_err,source_url,notes
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,2,7.26,0.10,0.17,0.19,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,4.3,6.54,0.10,0.12,0.06,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,9.1,5.837,0.059,0.056,0.013,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,19.5,5.230,0.029,0.032,0.024,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,41.8,4.036,0.032,0.036,0.030,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,89.3,2.802,0.045,0.050,0.040,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,191,0.20,0.24,0.34,0.080,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,408,1.002,0.064,0.068,0.26,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,1000,0.18,0.09,0.10,0.20,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,2,7.18,0.15,0.28,0.11,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,4.3,6.24,0.21,0.21,0.09,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,9.1,5.831,0.081,0.090,0.042,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,19.5,4.959,0.053,0.061,0.025,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
