paper,year,survey,method_or_table,band_um,flux_mjy,source_n_galaxies,flux_correction,integral_N_gt_S_per_deg2,integral_err_per_deg2,differential_value,differential_err,differential_unit,notes,source_url,bin_min_mjy,bin_max_mjy,err1_pct,err2_pct,err3_pct,err4_pct,err_total_pct_quadrature
Clements et al.,2010,H-ATLAS,Table 1,250,34,898,1.1,436,6,23000,800,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,38,1702,1,374,5,21500,500,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,42,1093,1,300,5,18500,600,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,47,710,1,200,5,16000,600,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,52,506,1,150,5,14000,600,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,56,345,1,100,3,12000,650,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,63,418,1,70,2,9600,500,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,73,232,1,45,2,7600,500,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,83,126,1,25,2,5700,500,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,93,69,1,20,1,4200,500,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,125,115,1,10,1.0,2900,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,175,25,1,5,1.0,1500,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,250,16,1,3,0.5,1100,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,350,14,1,2,0.4,2300,600,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,450,4,1,1,0.3,1200,600,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,250,800,10,1,0.7,0.2,2200,700,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Oliver et al.,2010,HerMES,Table 2,250,23.8,,,,,2e+08,82000000,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,20,29,38,10,4,11,41
Oliver et al.,2010,HerMES,Table 2,250,37.5,,,,,64000000,19093035,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,29,51,22,6,3,19,29.8329
Oliver et al.,2010,HerMES,Table 2,250,58.9,,,,,12000000,5065649,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,51,69,28,7,7,30,42.2137
Oliver et al.,2010,HerMES,Table 2,250,85.9,,,,,3100000,1407345.4,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,69,111,35,6,4,28,45.3982
Oliver et al.,2010,HerMES,Table 2,250,166.2,,,,,210000,81169.822,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,111,289,23,4,7,30,38.6523
Oliver et al.,2010,HerMES,Table 2,250,374.1,,,,,17000,5348.9251,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,289,511,6,19,23,8,31.4643
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,10.7,,,3098.4,55.7,26.677,3.533,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,12.3,,,2785.0,52.8,32.125,3.867,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
