paper,year,survey,table,method,field,band_um,flux_mjy,s25_dnds_jy15_deg2,s25_dnds_err_jy15_deg2,units,notes
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,25.4,9.557,0.084,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,25.4,9.181,0.083,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,25.4,9.305,0.086,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,31.2,7.891,0.073,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,31.2,7.531,0.072,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,31.2,7.824,0.073,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,38.3,5.542,0.075,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,38.3,5.443,0.075,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,38.3,5.716,0.076,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,47.0,3.582,0.089,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
