paper,year,survey,method_or_table,count_type,band_um,flux_mjy,flux_jy,euclidean_best_jy15_deg2,euclidean_err_jy15_deg2,field_scatter_jy15_deg2,n_fields,area_deg2,standard_unit,notes,source_url
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,25.4,0.0254,9.347234107087589,0.04870966031482898,0.19159679885982847,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,31.2,0.0312,7.749018446301454,0.041958925212307444,0.1914584376133196,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,38.3,0.038299999999999994,5.567942432683379,0.0435015851588524,0.13820636743652617,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,47.0,0.047,3.65865886722377,0.05276837093420505,0.06625959050079734,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,57.8,0.0578,3.4938557103064065,0.06275672440226442,0.06908207678792906,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,71.0,0.071,2.417553141442278,0.061410811270952596,0.06957250414735205,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,87.2,0.0872,1.8564628288455587,0.05372044800975972,0.15775402794646257,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,107.2,0.1072,1.0815346951408231,0.043124376812342616,0.026576932353703616,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,131.7,0.13169999999999998,0.8659309192200557,0.03988842230006641,0.08818919056966862,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,161.8,0.1618,0.6987696688331786,0.04014013449291812,0.11376730637577744,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,198.7,0.1987,0.6453555555555556,0.043947094363388346,0.07623647421018365,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,244.2,0.2442,0.6394096564531105,0.05061448638449007,0.03700450423034114,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,resolved/prior,250,300.0,0.3,1.7561412565769112,0.09741024909264791,0.4614773378328921,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,25.4,0.0254,4.2325262766945215,0.026382691962985937,0.1854570929712135,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,31.2,0.0312,4.454462209842154,0.0362794901526659,0.10658799181896603,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,38.3,0.038299999999999994,4.284836830702568,0.044637333816273335,0.15602991166226218,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,47.0,0.047,2.739125100588053,0.04270988275585861,0.017521415467935307,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,57.8,0.0578,1.279208604147323,0.03787400259507162,0.08651204155106582,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,71.0,0.071,0.80396849272671,0.03895947911446486,0.011269427669584591,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,87.2,0.0872,0.5089033116682142,0.031958732496798974,0.03569780572154731,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,107.2,0.1072,0.33043522129371705,0.02465450466176126,0.03847510017314228,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,131.7,0.13169999999999998,0.19762779325286287,0.01990926151554595,0.03868246803570493,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,161.8,0.1618,0.18708077994428968,0.02105684686101097,0.06906036007242747,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,198.7,0.1987,0.1524872175796967,0.021614972144623826,0.06854925236645547,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,244.2,0.2442,0.1919508511296812,0.027785272057378272,0.03659234892706398,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,resolved/prior,350,300.0,0.3,0.48588300835654596,0.05169750335530582,0.11883181392203016,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,25.4,0.0254,1.6252588672237698,0.023682273020877564,0.03515679166249392,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,31.2,0.0312,1.5529262766945218,0.03938279347661382,0.16724333569183963,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,38.3,0.038299999999999994,1.2858606004333024,0.04258972042553418,0.16085500717519913,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
