sfr_min_msun_per_yr,band_um,N,median_z,median_log10SFR_pop,median_log10LIR,median_observed_mjy,median_aless_pred_mjy,median_log10_pred_over_obs,spearman_logpred_vs_logobs
10,24,21246,1.6417007446289062,1.3773307800292969,11.634323802851082,0.0981865,0.08099101287099755,-0.10209720381604026,0.6678361990124202
10,250,4003,1.2448351383209229,1.4608073234558105,11.747498190485016,11.91116,8.11080658560135,-0.16957034771709578,0.36042405037491565
10,350,2759,1.3587104082107544,1.506263256072998,11.81040810188653,11.823347,5.895066093436926,-0.29364781076847823,0.2744972713846196
10,500,1185,1.5308552384376526,1.5505561828613281,11.882131995079977,10.328908,3.2073095197332773,-0.49376336587810715,0.20368338218894283
10,850,479,1.8450141549110413,1.7314600944519043,12.070610240898613,3.637484,1.2272786122076875,-0.4733289164982928,0.25043828233506
30,24,8057,1.965285062789917,1.6918344497680664,11.968098880143303,0.119332,0.1128295681167443,-0.05902220330478225,0.6757827405207493
30,250,1932,1.538807600736618,1.7148466110229492,12.027625501488146,12.877718999999999,11.571733448219465,-0.05498457277158725,0.3627558242338576
30,350,1465,1.6220176219940186,1.726757526397705,12.053367932583425,12.709804,8.54280713619842,-0.16500889516742157,0.31755992656692755
30,500,665,1.768878161907196,1.781153678894043,12.11803030828229,10.839446,5.165381048974153,-0.32668714864124093,0.2454076823449049
30,850,336,1.9416743516921997,1.8625884056091309,12.232437427860699,3.752553,1.751675203321717,-0.3259949838743138,0.2696203172353578
100,24,1022,2.493995189666748,2.1368191242218018,12.415612715682261,0.13685799999999998,0.1478176493418596,0.02143413361103616,0.6781072634080806
100,250,285,1.9700031876564026,2.14579439163208,12.485049242519986,16.017719,19.38232451947252,0.09247600317221327,0.2525221998164919
100,350,235,1.9700031876564026,2.1440558433532715,12.485388227397186,16.488777,17.223512091469193,-0.021624401386983738,0.16098088712585645
100,500,138,2.0288434624671936,2.1568925380706787,12.491148784070603,12.7167715,10.729079745242199,-0.13390866825881143,0.07798141049204431
100,850,98,2.1899638175964355,2.183112382888794,12.534253134197009,4.323318,3.5407623974269855,-0.08792370901872931,0.2872125419989926
