band_um,model,model_label,T_dust_K,alpha_mir,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,5444,5.528301249336922,0.07492601629341479
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,8.493232323171238,7.118229794928693,10.133839082682117,3759,6.484088135869901,0.10575788246291802
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,12.091355875609787,10.133839082682117,14.426999059072134,2206,6.463758045956176,0.13762024837818476
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,17.21380993097034,14.426999059072134,20.5389389107391,1167,5.808358835796944,0.17002704650361494
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,24.5063709469745,20.5389389107391,29.240177382128667,538,4.548496428914669,0.19609960561699336
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,34.888395968065744,29.240177382128667,41.62766037009365,189,2.714253372701359,0.1974328815189391
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,49.66872393543112,41.62766037009365,59.26305046791458,71,1.7320081459889562,0.20555154995020353
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,70.71067811865476,59.26305046791458,84.36960231581453,32,1.3260031611952003,0.23440645678898123
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,100.66697116076413,84.36960231581453,120.11244339814311,17,1.1965931216121,0.29021646066436746
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,143.3141266963557,120.11244339814311,170.99759466766963,5,0.5978201987153088,0.2673533205299726
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,204.02857733683695,170.99759466766963,243.4400346449093,2,0.4061940668138798,0.287222579121836
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,5269,5.350591345105848,0.07371191318789146
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,8.493232323171238,7.118229794928693,10.133839082682117,3396,5.85793118100936,0.10052183883552107
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,12.091355875609787,10.133839082682117,14.426999059072134,1884,5.520272057380525,0.12718035488440188
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,17.21380993097034,14.426999059072134,20.5389389107391,875,4.355024834037982,0.1472267107174221
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,24.5063709469745,20.5389389107391,29.240177382128667,367,3.102784738683427,0.16196404497731456
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,34.888395968065744,29.240177382128667,41.62766037009365,135,1.9387524090723993,0.16686123983904247
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,49.66872393543112,41.62766037009365,59.26305046791458,40,0.9757792371768766,0.154284244149029
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,70.71067811865476,59.26305046791458,84.36960231581453,23,0.9530647721090504,0.19872774251475808
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,100.66697116076413,84.36960231581453,120.11244339814311,10,0.703878306830647,0.2225858645167699
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,143.3141266963557,120.11244339814311,170.99759466766963,4,0.47825615897224705,0.23912807948612352
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,204.02857733683695,170.99759466766963,243.4400346449093,1,0.2030970334069399,0.2030970334069399
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,838.10609719326,702.4218301525182,1000.0,1,1.6908908657675317,1.6908908657675317
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,5.9658317923524695,5.000000000000001,7.118229794928693,3119,3.167298235981238,0.05671282375454537
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,8.493232323171238,7.118229794928693,10.133839082682117,1782,3.073861414769929,0.07281660617853546
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,12.091355875609787,10.133839082682117,14.426999059072134,851,2.493498684092795,0.08547603403485252
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,17.21380993097034,14.426999059072134,20.5389389107391,365,1.8166675021987013,0.09508872300430098
