model,model_label,T_dust_K,alpha_mir,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
casey_T30_a25,Casey T30K a=2.5,30,2.5,148,496.8349359613853,-0.025207848951185184,3.356992810549901
casey_T30_a30,Casey T30K a=3.0,30,3.0,148,515.5113730393571,0.06699412624002121,3.483184952968629
casey_T25_a20,Casey T25K a=2.0,25,2.0,148,738.7557287574092,0.12754560202181792,4.9915927618743865
casey_T25_a15,Casey T25K a=1.5,25,1.5,149,778.2584598025892,-0.11121904613944242,5.223211139614692
casey_T30_a20,Casey T30K a=2.0,30,2.0,149,885.7298213601645,-0.15375940172850927,5.944495445370231
casey_T35_a30,Casey T35K a=3.0,35,3.0,148,1052.1990887367476,-0.25626748570777014,7.1094533022753215
casey_T25_a25,Casey T25K a=2.5,25,2.5,148,1319.816322140588,0.2912633607178251,8.91767785230127
casey_T35_a25,Casey T35K a=2.5,35,2.5,148,1471.3109551876084,-0.33645322021280033,9.941290237754112
casey_T25_a30,Casey T25K a=3.0,25,3.0,148,1936.4229105221075,0.39988966581399243,13.083938584608834
casey_T30_a15,Casey T30K a=1.5,30,1.5,149,2025.5972843530485,-0.4012200072527491,13.594612646664755
casey_T35_a20,Casey T35K a=2.0,35,2.0,149,2356.0630788141284,-0.5124797575661393,15.81250388465858
casey_T40_a30,Casey T40K a=3.0,40,3.0,149,2644.4881734896844,-0.5466042723546567,17.748242775098554
casey_T40_a25,Casey T40K a=2.5,40,2.5,149,3242.9764243438526,-0.6143873835801443,21.764942445260754
casey_T35_a15,Casey T35K a=1.5,35,1.5,149,3801.6448705754005,-0.6966326145492994,25.51439510453289
casey_T40_a20,Casey T40K a=2.0,40,2.0,149,4175.225812814474,-0.7867246449112155,28.02164975043271
casey_T45_a30,Casey T45K a=3.0,45,3.0,148,4449.110831146805,-0.7744627791643772,30.061559669910846
casey_T45_a25,Casey T45K a=2.5,45,2.5,148,4998.611965324165,-0.883484867475825,33.77440517110922
casey_T40_a15,Casey T40K a=1.5,40,1.5,148,5480.595485106786,-0.928911151533361,37.03105057504585
casey_T45_a20,Casey T45K a=2.0,45,2.0,145,5701.847369800007,-1.0356640375777313,39.32308530896557
casey_T45_a15,Casey T45K a=1.5,45,1.5,145,6628.39132983665,-1.1263175732416042,45.71304365404586
