count_regime,model,model_label,T_dust_K,alpha_mir,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
P(D) statistical,casey_T30_a25,Casey T30K a=2.5,30,2.5,26,56.43964053730839,0.02597907504003774,2.170755405281092
P(D) statistical,casey_T25_a15,Casey T25K a=1.5,25,1.5,26,80.84199970772765,0.00229375065143983,3.109307681066448
P(D) statistical,casey_T30_a20,Casey T30K a=2.0,30,2.0,26,92.58712349794911,-0.12545277445879643,3.561043211459581
P(D) statistical,casey_T35_a30,Casey T35K a=3.0,35,3.0,26,106.55475293569555,-0.19490980705890074,4.098259728295982
P(D) statistical,casey_T30_a30,Casey T30K a=3.0,30,3.0,26,113.70118628408241,0.14597605378294137,4.373122549387785
P(D) statistical,casey_T35_a25,Casey T35K a=2.5,35,2.5,26,167.86801600373556,-0.26307033599584706,6.456462153989829
P(D) statistical,casey_T25_a20,Casey T25K a=2.0,25,2.0,26,197.48391430720676,0.2804626732197491,7.595535165661799
P(D) statistical,casey_T30_a15,Casey T30K a=1.5,30,1.5,26,229.88769676309954,-0.30308636001390477,8.841834490888443
P(D) statistical,casey_T35_a20,Casey T35K a=2.0,35,2.0,26,292.5569660970144,-0.4161733311406465,11.252191003731324
P(D) statistical,casey_T25_a25,Casey T25K a=2.5,25,2.5,26,314.24456406559875,0.44383819957564125,12.086329387138413
P(D) statistical,casey_T40_a30,Casey T40K a=3.0,40,3.0,26,344.65574035122063,-0.4552470297759751,13.255990013508486
P(D) statistical,casey_T40_a25,Casey T40K a=2.5,40,2.5,26,440.6286733236093,-0.5526252759641346,16.947256666292667
P(D) statistical,casey_T25_a30,Casey T25K a=3.0,25,3.0,26,458.9231412930399,0.5521970128616156,17.650890049732304
P(D) statistical,casey_T35_a15,Casey T35K a=1.5,35,1.5,26,499.3300668822019,-0.6246945000788553,19.20500257239238
P(D) statistical,casey_T40_a20,Casey T40K a=2.0,40,2.0,26,579.5488214817926,-0.6819107340527922,22.290339287761256
P(D) statistical,casey_T45_a30,Casey T45K a=3.0,45,3.0,26,640.0093730778678,-0.7196416678162855,24.615745118379532
P(D) statistical,casey_T45_a25,Casey T45K a=2.5,45,2.5,26,733.7814841522688,-0.7968989658437582,28.222364775087264
P(D) statistical,casey_T40_a15,Casey T40K a=1.5,40,1.5,26,800.0936725979518,-0.8306835777162567,30.772833561459684
P(D) statistical,casey_T45_a20,Casey T45K a=2.0,45,2.0,25,851.5560002642728,-0.9387088058650062,34.06224001057091
P(D) statistical,casey_T45_a15,Casey T45K a=1.5,45,1.5,25,1025.548168677858,-1.0876041250166881,41.02192674711432
resolved/prior,casey_T30_a30,Casey T30K a=3.0,30,3.0,122,401.81018675527463,-0.0017667668076207788,3.293526120944874
resolved/prior,casey_T30_a25,Casey T30K a=2.5,30,2.5,122,440.39529542407695,-0.10338099288020741,3.609797503476041
resolved/prior,casey_T25_a20,Casey T25K a=2.0,25,2.0,122,541.2718144502024,0.07126485966169341,4.436654216804938
resolved/prior,casey_T25_a15,Casey T25K a=1.5,25,1.5,123,697.4164600948616,-0.17583348536259347,5.670052521096435
resolved/prior,casey_T30_a20,Casey T30K a=2.0,30,2.0,123,793.1426978622154,-0.2677346624114439,6.448314616765979
resolved/prior,casey_T35_a30,Casey T35K a=3.0,35,3.0,122,945.644335801052,-0.26800354134352444,7.751183080336491
resolved/prior,casey_T25_a25,Casey T25K a=2.5,25,2.5,122,1005.5717580749892,0.21867367470074509,8.24239145963106
resolved/prior,casey_T35_a25,Casey T35K a=2.5,35,2.5,122,1303.4429391838728,-0.3593032245556496,10.683958517900596
resolved/prior,casey_T25_a30,Casey T25K a=3.0,25,3.0,122,1477.4997692290676,0.3168284337767269,12.110653846139899
resolved/prior,casey_T30_a15,Casey T30K a=1.5,30,1.5,123,1795.709587589949,-0.44981913754604774,14.599264939755683
resolved/prior,casey_T35_a20,Casey T35K a=2.0,35,2.0,123,2063.5061127171143,-0.525462912487187,16.77647246111475
resolved/prior,casey_T40_a30,Casey T40K a=3.0,40,3.0,123,2299.832433138464,-0.5619184119415307,18.697824659662306
resolved/prior,casey_T40_a25,Casey T40K a=2.5,40,2.5,123,2802.3477510202433,-0.6254372491869338,22.783315048945067
resolved/prior,casey_T35_a15,Casey T35K a=1.5,35,1.5,123,3302.3148036931984,-0.7688800076192208,26.848087834904053
resolved/prior,casey_T40_a20,Casey T40K a=2.0,40,2.0,123,3595.6769913326816,-0.7998229845172755,29.233146270997413
resolved/prior,casey_T45_a30,Casey T45K a=3.0,45,3.0,122,3809.1014580689375,-0.7744627791643772,31.222143098925716
resolved/prior,casey_T45_a25,Casey T45K a=2.5,45,2.5,122,4264.830481171895,-0.8947942629608789,34.9576268948516
resolved/prior,casey_T40_a15,Casey T40K a=1.5,40,1.5,122,4680.5018125088345,-1.0148545348535984,38.364768954990446
resolved/prior,casey_T45_a20,Casey T45K a=2.0,45,2.0,120,4850.291369535735,-1.0687793777229522,40.41909474613112
resolved/prior,casey_T45_a15,Casey T45K a=1.5,45,1.5,120,5602.843161158791,-1.1263175732416042,46.69035967632326
