band_um,model,model_label,T_dust_K,alpha_mir,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,external_source
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,13,129.33014875184156,9.94847298091089,-0.30556126535640893,Clements et al. / Table 1
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,12,71.13784406106498,5.928153671755415,-0.03845778063639766,Clements et al. / Table 1
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,10,23.55200999138837,2.355200999138837,0.37027333658877015,Clements et al. / Table 1
all,casey_T25_a15,Casey T25K a=1.5,25,1.5,35,224.0200028042949,6.40057150869414,-0.03845778063639766,Clements et al. / Table 1
250,casey_T25_a20,Casey T25K a=2.0,25,2.0,13,15.815461913946976,1.2165739933805366,-0.03739627944500706,Clements et al. / Table 1
350,casey_T25_a20,Casey T25K a=2.0,25,2.0,11,48.10852989599564,4.373502717817785,0.14694845668208767,Clements et al. / Table 1
500,casey_T25_a20,Casey T25K a=2.0,25,2.0,10,104.88517789851578,10.488517789851578,0.5478759015852589,Clements et al. / Table 1
all,casey_T25_a20,Casey T25K a=2.0,25,2.0,34,168.8091697084584,4.964975579660541,0.14694845668208767,Clements et al. / Table 1
250,casey_T25_a25,Casey T25K a=2.5,25,2.5,13,46.183795969830854,3.5525996899869887,0.15181997052974255,Clements et al. / Table 1
350,casey_T25_a25,Casey T25K a=2.5,25,2.5,12,137.25118942775833,11.437599118979861,0.357061478705206,Clements et al. / Table 1
500,casey_T25_a25,Casey T25K a=2.5,25,2.5,9,205.77081023157038,22.863423359063376,0.7304378375747148,Clements et al. / Table 1
all,casey_T25_a25,Casey T25K a=2.5,25,2.5,34,389.2057956291595,11.447229283210575,0.357061478705206,Clements et al. / Table 1
250,casey_T25_a30,Casey T25K a=3.0,25,3.0,13,99.49730610330045,7.653638931023111,0.23066095651657242,Clements et al. / Table 1
350,casey_T25_a30,Casey T25K a=3.0,25,3.0,12,233.66392920780856,19.471994100650715,0.4829819569037636,Clements et al. / Table 1
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,9,286.16352537110197,31.795947263455773,0.8277298631435548,Clements et al. / Table 1
all,casey_T25_a30,Casey T25K a=3.0,25,3.0,34,619.324760682211,18.21543413771209,0.4829819569037636,Clements et al. / Table 1
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,13,308.08921109207864,23.69917008400605,-0.46667590131019276,Clements et al. / Table 1
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,12,175.88310756007715,14.656925630006429,-0.32963440573308495,Clements et al. / Table 1
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,10,17.058179671461204,1.7058179671461204,-0.09543593646579052,Clements et al. / Table 1
all,casey_T30_a15,Casey T30K a=1.5,30,1.5,35,501.03049832361694,14.315157094960483,-0.32963440573308495,Clements et al. / Table 1
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,13,128.7314088973827,9.902416069029439,-0.3435857360266547,Clements et al. / Table 1
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,12,75.20430153309078,6.267025127757566,-0.14883441187330693,Clements et al. / Table 1
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,10,23.415948866973775,2.3415948866973775,0.2637017799210371,Clements et al. / Table 1
all,casey_T30_a20,Casey T30K a=2.0,30,2.0,35,227.35165929744724,6.495761694212779,-0.14883441187330693,Clements et al. / Table 1
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,13,38.25503612367913,2.9426950864368564,-0.16913416359255803,Clements et al. / Table 1
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,11,35.80467198156108,3.254970180141916,-0.027484024026921003,Clements et al. / Table 1
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,10,19.981958744021313,1.9981958744021313,0.32298724948055824,Clements et al. / Table 1
all,casey_T30_a25,Casey T30K a=2.5,30,2.5,34,94.04166684926153,2.7659313779194568,-0.027484024026921003,Clements et al. / Table 1
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,13,12.242274104552905,0.9417133926579158,-0.053283455639424826,Clements et al. / Table 1
350,casey_T30_a30,Casey T30K a=3.0,30,3.0,11,36.46690955666368,3.3151735960603346,0.10837456159054872,Clements et al. / Table 1
500,casey_T30_a30,Casey T30K a=3.0,30,3.0,10,27.411163781381077,2.741116378138108,0.22962720308485957,Clements et al. / Table 1
all,casey_T30_a30,Casey T30K a=3.0,30,3.0,34,76.12034744259766,2.238833748311696,0.10837456159054872,Clements et al. / Table 1
250,casey_T35_a15,Casey T35K a=1.5,35,1.5,13,466.5487860029661,35.888368154074314,-0.7603383426768509,Clements et al. / Table 1
350,casey_T35_a15,Casey T35K a=1.5,35,1.5,12,262.31532241104946,21.859610200920788,-0.6800769765436004,Clements et al. / Table 1
500,casey_T35_a15,Casey T35K a=1.5,35,1.5,10,28.953107244911607,2.8953107244911607,-0.16763665889002172,Clements et al. / Table 1
all,casey_T35_a15,Casey T35K a=1.5,35,1.5,35,757.8172156589272,21.65192044739792,-0.6800769765436004,Clements et al. / Table 1
250,casey_T35_a20,Casey T35K a=2.0,35,2.0,13,299.95110849361924,23.073162191816866,-0.5174354690087847,Clements et al. / Table 1
350,casey_T35_a20,Casey T35K a=2.0,35,2.0,12,208.41860506850136,17.36821708904178,-0.4200937592626045,Clements et al. / Table 1
500,casey_T35_a20,Casey T35K a=2.0,35,2.0,10,22.545055136406326,2.2545055136406327,-0.26313735050493187,Clements et al. / Table 1
all,casey_T35_a20,Casey T35K a=2.0,35,2.0,35,530.9147686985269,15.168993391386485,-0.4200937592626045,Clements et al. / Table 1
250,casey_T35_a25,Casey T35K a=2.5,35,2.5,12,175.5855099763142,14.632125831359517,-0.4110062713833098,Clements et al. / Table 1
350,casey_T35_a25,Casey T35K a=2.5,35,2.5,12,140.50647606101552,11.708873005084627,-0.28168680360840165,Clements et al. / Table 1
500,casey_T35_a25,Casey T35K a=2.5,35,2.5,10,21.099698980673036,2.1099698980673036,-0.00602971402745045,Clements et al. / Table 1
all,casey_T35_a25,Casey T35K a=2.5,35,2.5,34,337.1916850180028,9.917402500529493,-0.28168680360840165,Clements et al. / Table 1
250,casey_T35_a30,Casey T35K a=3.0,35,3.0,12,114.31172843907967,9.525977369923305,-0.30337542616351676,Clements et al. / Table 1
350,casey_T35_a30,Casey T35K a=3.0,35,3.0,12,96.88389606233466,8.073658005194554,-0.2486507489909906,Clements et al. / Table 1
500,casey_T35_a30,Casey T35K a=3.0,35,3.0,10,12.99145144986952,1.299145144986952,0.06423902886985117,Clements et al. / Table 1
all,casey_T35_a30,Casey T35K a=3.0,35,3.0,34,224.18707595128384,6.593737527978937,-0.2486507489909906,Clements et al. / Table 1
250,casey_T40_a15,Casey T40K a=1.5,40,1.5,13,551.3169069669525,42.40899284361173,-1.0689154000737329,Clements et al. / Table 1
350,casey_T40_a15,Casey T40K a=1.5,40,1.5,12,276.69269654916707,23.057724712430588,-0.8827070191586519,Clements et al. / Table 1
500,casey_T40_a15,Casey T40K a=1.5,40,1.5,9,29.43918704835934,3.271020783151038,-0.3044082384064153,Clements et al. / Table 1
all,casey_T40_a15,Casey T40K a=1.5,40,1.5,34,857.4487905644789,25.219082075425852,-0.8827070191586519,Clements et al. / Table 1
250,casey_T40_a20,Casey T40K a=2.0,40,2.0,13,468.47692856066186,36.0366868123586,-0.7975844480251527,Clements et al. / Table 1
350,casey_T40_a20,Casey T40K a=2.0,40,2.0,12,273.60403791222814,22.800336492685677,-0.7332723129887276,Clements et al. / Table 1
500,casey_T40_a20,Casey T40K a=2.0,40,2.0,10,33.76561287836941,3.376561287836941,-0.4191616838382104,Clements et al. / Table 1
