band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source,sky_field,survey_family,score_set
250,aless,ALESS,5,44.92390324942601,8.984780649885202,-0.6594089011829545,0.5845864550680856,0.5553264095310905,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,fsps_lirnorm,FSPS,5,1.8793109642920032,0.3758621928584006,0.038331711220122244,0.13176384067434962,0.09320344283340318,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid25,25% ALESS,5,3.1563126689785483,0.6312625337957096,-0.09701368624391843,0.15485169888918743,0.14406425467944178,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid50,50% ALESS,5,11.106014265138569,2.2212028530277137,-0.33705455752534474,0.2795566972236365,0.24633278228403305,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid75,75% ALESS,5,27.350244332867522,5.470048866573505,-0.45477139632987434,0.4443718424291305,0.41374611890115914,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,wang_raw,Wang raw,4,27.782648082106952,6.945662020526738,-0.48911052135051636,0.6128381065433627,0.5358881456134736,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,aless,ALESS,5,26.967709948997076,5.393541989799415,-0.5462406689476135,0.5745784583094006,0.5562185014904352,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,fsps_lirnorm,FSPS,5,9.910481211539548,1.9820962423079096,0.22759239892977834,0.31878613801482525,0.26382591135802647,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid25,25% ALESS,5,1.2887930927676248,0.25775861855352494,0.09476142243554031,0.1276034058310573,0.11799852864660502,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid50,50% ALESS,5,6.330274439957048,1.2660548879914095,-0.09249767924526403,0.24915519598628133,0.21521424017737506,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid75,75% ALESS,5,17.36794290084574,3.473588580169148,-0.3444882752094919,0.42815550220999465,0.4110429191058957,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,wang_raw,Wang raw,3,11.933122585063707,3.977707528354569,-0.45859437222180494,0.49823329347082146,0.43419230230901734,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,aless,ALESS,5,15.861947849345443,3.1723895698690887,-0.5616650199649513,0.6106134023415027,0.5706785331714167,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,fsps_lirnorm,FSPS,5,10.30753504803112,2.061507009606224,0.3240911543833842,0.5020383543954806,0.42853145870882,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,resthybrid25,25% ALESS,5,3.5389062058487495,0.7077812411697499,0.12576821202480057,0.32554228221271075,0.24220091954043488,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,resthybrid50,50% ALESS,5,5.841504570930942,1.1683009141861884,-0.03436426874770164,0.38465266580414287,0.288020319117034,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,resthybrid75,75% ALESS,5,7.908769045466874,1.581753809093375,-0.31744190369238917,0.4311174406001816,0.3878462779890895,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,wang_raw,Wang raw,2,6.129489562984053,3.0647447814920263,-0.4399513789083527,0.49368701855448077,0.4399513789083527,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,aless,ALESS,15,87.75356104776853,5.850237403184568,-0.5616650199649513,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,fsps_lirnorm,FSPS,15,22.09732722386267,1.4731551482575114,0.22759239892977834,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid25,25% ALESS,15,7.984011967594923,0.5322674645063282,0.09476142243554031,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid50,50% ALESS,15,23.277793276026557,1.5518528850684372,-0.09249767924526403,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid75,75% ALESS,15,52.62695627918014,3.5084637519453428,-0.3444882752094919,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,wang_raw,Wang raw,9,45.845260230154715,5.093917803350524,-0.45859437222180494,,,old_2deg2_counterfactual,2.0,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,aless,ALESS,12,228.88846087057064,19.074038405880888,-0.6728418637764306,0.68985931101014,0.6553025714716645,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,fsps_lirnorm,FSPS,12,18.064123134133308,1.5053435945111089,-0.1282408604775535,0.1571485742826995,0.13949620394656775,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,resthybrid25,25% ALESS,12,38.22356538220704,3.18529711518392,-0.231616243185166,0.2559960292584042,0.23058346629254792,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,resthybrid50,50% ALESS,12,78.91425968667644,6.576188307223037,-0.3548803281879268,0.38792680942985885,0.36616402443905,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,resthybrid75,75% ALESS,12,146.69538496999286,12.224615414166072,-0.524485869993383,0.5402587795276679,0.5115305285311195,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,wang_raw,Wang raw,12,126.60260680461779,10.550217233718149,-0.5097683563558001,0.6635796035678756,0.579672675813863,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,aless,ALESS,10,276.59604511930587,27.65960451193059,-0.8360484178979977,0.805021686381678,0.7694392574566681,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,fsps_lirnorm,FSPS,10,7.592114604883593,0.7592114604883593,-0.06868945069913102,0.1121869246981595,0.10132586582055425,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,resthybrid25,25% ALESS,10,23.266029876260927,2.3266029876260927,-0.20959433038589403,0.2321378727547256,0.20647464246154118,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,resthybrid50,50% ALESS,10,72.22559716167653,7.222559716167654,-0.4036421425571808,0.4210833449250185,0.37142120970082587,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,resthybrid75,75% ALESS,10,165.15521447598837,16.515521447598836,-0.6299368831070578,0.6174965595036689,0.5734101864040436,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
350,wang_raw,Wang raw,10,111.78244610670511,11.178244610670511,-0.46126557847924843,0.5375549941557521,0.5053765334743917,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,aless,ALESS,7,209.47743403111315,29.92534771873045,-0.8552321672507401,0.9470713401657559,0.9211364236141149,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,fsps_lirnorm,FSPS,7,6.223564240636275,0.8890806058051821,0.04014124078720638,0.14971504770693383,0.12506679852181218,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,resthybrid25,25% ALESS,7,11.289261558814951,1.6127516512592788,-0.1553942335454663,0.24036230905155445,0.19616729117136114,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,resthybrid50,50% ALESS,7,44.74106806176259,6.39158115168037,-0.3283369555844263,0.44667156417783704,0.3986564231984268,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,resthybrid75,75% ALESS,7,113.12567085206143,16.160810121723063,-0.6036580547689976,0.6836616424398426,0.6539741167500503,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
500,wang_raw,Wang raw,7,92.45314208797636,13.207591726853765,-0.526194707377152,0.6585826861174348,0.6067340998315086,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,aless,ALESS,29,714.9619400209897,24.653860000723782,-0.8360484178979977,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,fsps_lirnorm,FSPS,29,31.879801979653177,1.0993035165397647,-0.06868945069913102,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,resthybrid25,25% ALESS,29,72.77885681728293,2.509615752320101,-0.20959433038589403,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,resthybrid50,50% ALESS,29,195.88092491011554,6.75451465207295,-0.3548803281879268,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
all,resthybrid75,75% ALESS,29,424.97627029804266,14.654354148208368,-0.6036580547689976,,,old_2deg2_counterfactual,2.0,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
