pair,N,median_dlogSFR,median_ratio,sigma_mad_dlogSFR,p16_dlogSFR,p84_dlogSFR,median_z,median_log10M,subset
lp_minus_pop,352826,0.22369476119995113,1.6737660756034252,0.36084994986470037,-0.15940473312377934,0.5644194781494141,1.402237892150879,9.375256776809692,all_sf_like
ez_minus_pop,347932,0.08169205584716799,1.2069577169890942,0.3952985901526886,-0.4242920837768555,0.4544945566503905,1.400930792093277,9.38197922706604,all_sf_like
lp_minus_pop,107130,0.31804897544860844,2.0799312280102233,0.2765638333273774,0.015009784832763644,0.5929557208801269,1.4244787693023682,9.57717752456665,binA_1<=z<2_9<=logM<=11.5
ez_minus_pop,106440,0.13794881965637207,1.373880057696507,0.3360610098227967,-0.2508730140380859,0.48995197777099603,1.4247000515460968,9.57992148399353,binA_1<=z<2_9<=logM<=11.5
lp_minus_pop,19143,0.25990925033569345,1.8193206557828756,0.4249248328507689,-0.22724206695556634,0.6543944916137694,1.8885954022407532,10.350284576416016,binB_1.5<=z<2.5_logM>=10
ez_minus_pop,19127,0.12157423281860358,1.3230438331019376,0.5127501449820738,-0.5417886965454103,0.6287138156079102,1.888251781463623,10.351041316986084,binB_1.5<=z<2.5_logM>=10
lp_minus_pop,61291,0.35797773574829095,2.280225172498725,0.2639860729563905,0.05178238574218749,0.6229793058471679,1.2538743615150452,9.56503677368164,narrow_1.0<=z<1.5
ez_minus_pop,60877,0.1699883695678711,1.4790687780877334,0.31375454070915526,-0.19151102941284176,0.4984072767333984,1.2542077898979187,9.567363262176514,narrow_1.0<=z<1.5
lp_minus_pop,45839,0.25631261184692383,1.8043160479720193,0.27131129288333133,-0.014490595867919908,0.5403167134216309,1.7139875292778015,9.592356204986572,narrow_1.5<=z<2.0
ez_minus_pop,45563,0.09056145971679688,1.2318603016247598,0.3581950479142639,-0.3388578517175293,0.47680419214965825,1.7134469747543335,9.595574378967285,narrow_1.5<=z<2.0
