model,model_label,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log,regime
resthybrid50,50% ALESS,188,843.1010475089795,-0.04447009799400457,4.48458003994138,all_scored_counts
resthybrid25,25% ALESS,188,851.3514794408909,0.12607948699997745,4.528465316174952,all_scored_counts
resthybrid75,75% ALESS,188,1562.128554470438,-0.2000029289269188,8.309194438672543,all_scored_counts
fsps_lirnorm,FSPS,188,1839.016870741419,0.32732316801032135,9.782004631603293,all_scored_counts
aless,ALESS,188,2529.103089269268,-0.3671658781233516,13.452676006751425,all_scored_counts
resthybrid50,50% ALESS,26,103.82945608171893,0.021363302189241873,3.993440618527651,pd_statistical_counts_only
resthybrid75,75% ALESS,26,141.82359241076097,-0.1415929786994841,5.454753554260037,pd_statistical_counts_only
resthybrid25,25% ALESS,26,169.66081288133984,0.16231687226662078,6.525415880051532,pd_statistical_counts_only
aless,ALESS,26,236.9517900433325,-0.3255198348808257,9.113530386282019,pd_statistical_counts_only
fsps_lirnorm,FSPS,26,346.54999438368515,0.4314924868868874,13.328845937834044,pd_statistical_counts_only
resthybrid25,25% ALESS,162,681.6906665595511,0.09748545559768146,4.207967077528093,resolved_or_prior_counts_only
resthybrid50,50% ALESS,162,739.2715914272605,-0.10715847161141212,4.56340488535346,resolved_or_prior_counts_only
resthybrid75,75% ALESS,162,1420.304962059677,-0.26027225448827457,8.767314580615292,resolved_or_prior_counts_only
fsps_lirnorm,FSPS,162,1492.4668763577338,0.2999971873722032,9.212758496035393,resolved_or_prior_counts_only
aless,ALESS,162,2292.1512992259354,-0.43652172056678307,14.149082093987255,resolved_or_prior_counts_only
