band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source
250,aless,ALESS,13,489.9255848247514,37.6865834480578,-0.6495002486564554,0.6566385809919012,0.6047592369324953,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
250,fsps_lirnorm,FSPS,13,31.501977947093533,2.4232290728533488,0.10549804553060332,0.23823620791675662,0.17063985556149988,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
250,resthybrid25,25% ALESS,13,50.02495381331337,3.848073370254874,-0.10288109638468929,0.19959791728816395,0.17358301692019826,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
250,resthybrid50,50% ALESS,13,161.65905075377182,12.435311596443986,-0.3653791840372389,0.33553039326443773,0.3095183168284267,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
250,resthybrid75,75% ALESS,13,351.3322053081972,27.02555425447671,-0.5914677872555459,0.5220093678663221,0.47639014032463395,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
250,wang_raw,Wang raw,11,303.75884657150044,27.614440597409132,-0.5913702010354228,0.6957740280880923,0.6714958164480538,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,aless,ALESS,12,310.4652850202148,25.872107085017902,-0.4936004849536225,0.6372739214845137,0.5356591833955207,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,fsps_lirnorm,FSPS,12,67.3253866977398,5.610448891478317,0.21287351662402576,0.40093056623258266,0.30614174877044525,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,resthybrid25,25% ALESS,12,47.73460873570513,3.9778840613087607,-0.03645842474793097,0.27267947931786163,0.2110749017557628,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,resthybrid50,50% ALESS,12,124.55963826721862,10.379969855601551,-0.1520700070152628,0.3786206069570102,0.344366760526658,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,resthybrid75,75% ALESS,12,222.91928212651356,18.57660684387613,-0.3910934776517418,0.5119508069336322,0.4767728147232146,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
350,wang_raw,Wang raw,6,201.7124950139994,33.6187491689999,-0.6453013460111384,0.6612088991339105,0.6594782384636683,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
500,aless,ALESS,10,30.893584540528977,3.0893584540528978,-0.28993507830739057,0.39848300057038677,0.37230714107142165,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
500,fsps_lirnorm,FSPS,10,91.73576756761476,9.173576756761475,0.4993140685305584,0.6094199388242164,0.5656463394105771,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
500,resthybrid25,25% ALESS,10,36.355653122710805,3.6355653122710807,0.397118985861203,0.4348189379988841,0.37633613403025495,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
500,resthybrid50,50% ALESS,10,21.337413509731256,2.133741350973126,0.21839541941528995,0.3875420558850399,0.3194216403988964,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
500,resthybrid75,75% ALESS,10,29.703408827763695,2.9703408827763695,0.027596634096656025,0.38407675127188035,0.3192821962877731,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,aless,ALESS,35,831.2844543854952,23.750984411014148,-0.4936004849536225,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,fsps_lirnorm,FSPS,35,190.5631322124481,5.44466092035566,0.21287351662402576,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,resthybrid25,25% ALESS,35,134.1152156717293,3.831863304906551,-0.03645842474793097,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,resthybrid50,50% ALESS,35,307.5561025307217,8.787317215163478,-0.1520700070152628,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,resthybrid75,75% ALESS,35,603.9548962624744,17.25585417892784,-0.3910934776517418,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
all,wang_raw,Wang raw,17,505.47134158549983,29.733608328558812,-0.5913702010354228,,,old_2deg2_counterfactual,2.0,Clements et al. / Table 1
