regime,model_family,model_key,model_label,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log,template_param_count_simple,dof_simple,reduced_chi2_log_simple_dof,rank_original,rank_simple_dof,rank_shift_simple_dof_minus_original
P(D) statistical counts,Casey-like template,casey_T30_a25,Casey T30K a=2.5,30.0,26,56.43964053730839,0.0259790750400377,2.170755405281092,2,24,2.3516516890545165,1.0,1.0,0.0
P(D) statistical counts,modified blackbody,mbb_T35,MBB 35 K,35.0,26,74.62330518434479,-0.0457956662813339,2.8701271224748,1,25,2.9849322073737916,2.0,2.0,0.0
P(D) statistical counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,26,80.84199970772765,0.0022937506514398,3.109307681066448,2,24,3.368416654488652,3.0,3.0,0.0
P(D) statistical counts,Casey-like template,casey_T30_a20,Casey T30K a=2.0,30.0,26,92.58712349794912,-0.1254527744587964,3.561043211459581,2,24,3.8577968124145467,4.0,4.0,0.0
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid50,50% ALESS,,26,103.82945608171892,0.0213633021892418,3.993440618527651,1,25,4.153178243268757,5.0,5.0,0.0
P(D) statistical counts,Casey-like template,casey_T35_a30,Casey T35K a=3.0,35.0,26,106.55475293569556,-0.1949098070589007,4.098259728295982,2,24,4.439781372320648,6.0,6.0,0.0
P(D) statistical counts,Casey-like template,casey_T30_a30,Casey T30K a=3.0,30.0,26,113.7011862840824,0.1459760537829413,4.373122549387785,2,24,4.737549428503433,7.0,7.0,0.0
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid75,75% ALESS,,26,141.82359241076097,-0.1415929786994841,5.454753554260037,1,25,5.672943696430439,8.0,8.0,0.0
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid25,25% ALESS,,26,169.66081288133984,0.1623168722666207,6.525415880051532,1,25,6.786432515253593,10.0,9.0,-1.0
P(D) statistical counts,Casey-like template,casey_T35_a25,Casey T35K a=2.5,35.0,26,167.86801600373556,-0.263070335995847,6.456462153989829,2,24,6.994500666822315,9.0,10.0,1.0
P(D) statistical counts,Casey-like template,casey_T25_a20,Casey T25K a=2.0,25.0,26,197.4839143072068,0.2804626732197491,7.595535165661799,2,24,8.228496429466949,11.0,11.0,0.0
P(D) statistical counts,modified blackbody,mbb_T40,MBB 40 K,40.0,26,215.2831014283516,-0.3185186256675948,8.28011928570583,1,25,8.611324057134064,12.0,12.0,0.0
P(D) statistical counts,modified blackbody,mbb_T30,MBB 30 K,30.0,26,215.5517217875975,0.301915737757415,8.290450837984519,1,25,8.6220688715039,13.0,13.0,0.0
P(D) statistical counts,empirical template,aless,ALESS,,26,236.9517900433325,-0.3255198348808257,9.11353038628202,0,26,9.113530386282019,15.0,14.0,-1.0
P(D) statistical counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,26,229.8876967630996,-0.3030863600139047,8.841834490888443,2,24,9.578654031795816,14.0,15.0,1.0
P(D) statistical counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,26,292.5569660970144,-0.4161733311406465,11.252191003731324,2,24,12.189873587375601,16.0,16.0,0.0
P(D) statistical counts,Casey-like template,casey_T25_a25,Casey T25K a=2.5,25.0,26,314.24456406559875,0.4438381995756412,12.086329387138411,2,24,13.093523502733282,17.0,17.0,0.0
P(D) statistical counts,baseline,fsps_lirnorm,FSPS,,26,346.54999438368515,0.4314924868868874,13.328845937834044,0,26,13.328845937834044,19.0,18.0,-1.0
P(D) statistical counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,26,344.65574035122063,-0.4552470297759751,13.255990013508486,2,24,14.360655847967527,18.0,19.0,1.0
P(D) statistical counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,26,440.6286733236093,-0.5526252759641346,16.947256666292667,2,24,18.35952805515039,20.0,20.0,0.0
P(D) statistical counts,Casey-like template,casey_T25_a30,Casey T25K a=3.0,25.0,26,458.9231412930399,0.5521970128616156,17.650890049732304,2,24,19.121797553876664,21.0,21.0,0.0
P(D) statistical counts,modified blackbody,mbb_T45,MBB 45 K,45.0,26,510.7269102409148,-0.5955255451990364,19.643342701573648,1,25,20.42907640963659,23.0,22.0,-1.0
P(D) statistical counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,26,499.3300668822019,-0.6246945000788553,19.20500257239238,2,24,20.805419453425078,22.0,23.0,1.0
P(D) statistical counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,26,579.5488214817926,-0.6819107340527922,22.290339287761256,2,24,24.14786756174136,24.0,24.0,0.0
P(D) statistical counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,26,640.0093730778678,-0.7196416678162855,24.61574511837953,2,24,26.667057211577827,25.0,25.0,0.0
P(D) statistical counts,modified blackbody,mbb_T25,MBB 25 K,25.0,26,724.1565151397947,0.6992580265572081,27.85217365922288,1,25,28.96626060559179,26.0,26.0,0.0
P(D) statistical counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,26,733.7814841522688,-0.7968989658437582,28.222364775087264,2,24,30.574228506344536,27.0,27.0,0.0
P(D) statistical counts,modified blackbody,mbb_T50,MBB 50 K,50.0,25,767.2907523810657,-0.8660313992275023,30.691630095242623,1,24,31.970448015877736,28.0,28.0,0.0
P(D) statistical counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,26,800.0936725979518,-0.8306835777162567,30.772833561459684,2,24,33.33723635824799,29.0,29.0,0.0
P(D) statistical counts,Casey-like template,casey_T45_a20,Casey T45K a=2.0,45.0,25,851.5560002642728,-0.9387088058650062,34.06224001057091,2,23,37.0241739245336,30.0,30.0,0.0
P(D) statistical counts,Casey-like template,casey_T45_a15,Casey T45K a=1.5,45.0,25,1025.548168677858,-1.087604125016688,41.02192674711432,2,23,44.589050812080785,31.0,31.0,0.0
P(D) statistical counts,modified blackbody,mbb_T20,MBB 20 K,20.0,26,1806.864291514226,1.0762110824970794,69.49478044285485,1,25,72.27457166056904,32.0,32.0,0.0
all scored counts,Casey-like template,casey_T30_a25,Casey T30K a=2.5,30.0,148,496.8349359613853,-0.0252078489511851,3.356992810549901,2,146,3.402979013434146,1.0,1.0,0.0
all scored counts,Casey-like template,casey_T30_a30,Casey T30K a=3.0,30.0,148,515.5113730393571,0.0669941262400212,3.483184952968629,2,146,3.530899815338062,2.0,2.0,0.0
all scored counts,FSPS/ALESS hybrid,25% ALESS,25% ALESS,,149,621.7692530407827,0.1193684125801865,4.172948006985119,1,148,4.20114360162691,3.0,3.0,0.0
all scored counts,FSPS/ALESS hybrid,50% ALESS,50% ALESS,,149,625.9635632365574,-0.0636563512476162,4.201097739842667,1,148,4.229483535382145,4.0,4.0,0.0
all scored counts,modified blackbody,mbb_T35,MBB 35 K,35.0,147,626.6372093909384,-0.1077000231479746,4.262838159122031,1,146,4.292035680759852,5.0,5.0,0.0
all scored counts,Casey-like template,casey_T25_a20,Casey T25K a=2.0,25.0,148,738.7557287574092,0.1275456020218179,4.9915927618743865,2,146,5.059970744913762,6.0,6.0,0.0
all scored counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,149,778.2584598025892,-0.1112190461394424,5.223211139614692,2,147,5.294275236752307,7.0,7.0,0.0
all scored counts,Casey-like template,casey_T30_a20,Casey T30K a=2.0,30.0,149,885.7298213601645,-0.1537594017285092,5.944495445370231,2,147,6.0253729344228875,8.0,8.0,0.0
all scored counts,modified blackbody,mbb_T30,MBB 30 K,30.0,148,890.4635951600599,0.2174361607358879,6.016645913243647,1,147,6.057575477279319,9.0,9.0,0.0
all scored counts,Casey-like template,casey_T35_a30,Casey T35K a=3.0,35.0,148,1052.1990887367476,-0.2562674857077701,7.1094533022753215,2,146,7.206843073539368,10.0,10.0,0.0
all scored counts,FSPS/ALESS hybrid,75% ALESS,75% ALESS,,149,1199.5207513139665,-0.2131889602179415,8.050474841033331,1,148,8.104869941310584,11.0,11.0,0.0
all scored counts,baseline,FSPS,FSPS,,149,1251.473370758262,0.3136601776912623,8.399150139317195,0,149,8.399150139317195,12.0,12.0,0.0
all scored counts,Casey-like template,casey_T25_a25,Casey T25K a=2.5,25.0,148,1319.816322140588,0.2912633607178251,8.91767785230127,2,146,9.03983782288074,13.0,13.0,0.0
all scored counts,Casey-like template,casey_T35_a25,Casey T35K a=2.5,35.0,148,1471.3109551876084,-0.3364532202128003,9.941290237754112,2,146,10.077472295805537,14.0,14.0,0.0
all scored counts,modified blackbody,mbb_T40,MBB 40 K,40.0,148,1825.17001265477,-0.4003097539459226,12.332229815234934,1,147,12.416122535066464,15.0,15.0,0.0
all scored counts,Casey-like template,casey_T25_a30,Casey T25K a=3.0,25.0,148,1936.422910522108,0.3998896658139924,13.083938584608834,2,146,13.263170620014439,16.0,16.0,0.0
all scored counts,empirical template,ALESS,ALESS,,149,1985.853614977648,-0.413555114044723,13.32787661058824,0,149,13.327876610588241,17.0,17.0,0.0
all scored counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,149,2025.5972843530485,-0.4012200072527491,13.594612646664755,2,147,13.779573362945909,18.0,18.0,0.0
all scored counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,149,2356.0630788141284,-0.5124797575661393,15.81250388465858,2,147,16.027639991932848,19.0,19.0,0.0
all scored counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,149,2644.4881734896844,-0.5466042723546567,17.748242775098554,2,147,17.98971546591622,20.0,20.0,0.0
all scored counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,149,3242.9764243438526,-0.6143873835801443,21.76494244526076,2,147,22.06106411118267,21.0,21.0,0.0
all scored counts,modified blackbody,mbb_T25,MBB 25 K,25.0,148,3327.8850876726715,0.5733413521056469,22.48571005184237,1,147,22.638674065800487,22.0,22.0,0.0
all scored counts,modified blackbody,mbb_T45,MBB 45 K,45.0,148,3589.7984167690965,-0.6367048532903705,24.255394707899303,1,147,24.420397392987052,23.0,23.0,0.0
all scored counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,149,3801.644870575401,-0.6966326145492994,25.51439510453289,2,147,25.861529731805447,24.0,24.0,0.0
all scored counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,149,4175.225812814474,-0.7867246449112155,28.02164975043271,2,147,28.40289668581275,25.0,25.0,0.0
all scored counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,148,4449.110831146805,-0.7744627791643772,30.06155966991085,2,146,30.4733618571699,26.0,26.0,0.0
all scored counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,148,4998.611965324165,-0.883484867475825,33.77440517110922,2,146,34.237068255644964,27.0,27.0,0.0
all scored counts,modified blackbody,mbb_T50,MBB 50 K,50.0,145,5185.933099189936,-0.9775173073665664,35.76505585648232,1,144,36.01342429993011,28.0,28.0,0.0
all scored counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,148,5480.595485106786,-0.928911151533361,37.03105057504585,2,146,37.53832524045744,29.0,29.0,0.0
all scored counts,Casey-like template,casey_T45_a20,Casey T45K a=2.0,45.0,145,5701.847369800007,-1.0356640375777313,39.32308530896557,2,143,39.87305853006998,30.0,30.0,0.0
all scored counts,Casey-like template,casey_T45_a15,Casey T45K a=1.5,45.0,145,6628.39132983665,-1.1263175732416042,45.71304365404586,2,143,46.35238692193461,31.0,31.0,0.0
all scored counts,modified blackbody,mbb_T20,MBB 20 K,20.0,149,7803.736694043831,0.893523968643412,52.37407177210625,1,148,52.72795063543129,32.0,32.0,0.0
resolved/prior counts,Casey-like template,casey_T30_a30,Casey T30K a=3.0,30.0,122,401.8101867552746,-0.0017667668076207,3.293526120944874,2,120,3.3484182229606216,1.0,1.0,0.0
resolved/prior counts,Casey-like template,casey_T30_a25,Casey T30K a=2.5,30.0,122,440.39529542407695,-0.1033809928802074,3.609797503476041,2,120,3.6699607952006414,2.0,2.0,0.0
resolved/prior counts,FSPS/ALESS hybrid,resthybrid25,25% ALESS,,123,452.1084401594428,0.094551750527296,3.675678375280023,1,122,3.7058068865528098,3.0,3.0,0.0
resolved/prior counts,FSPS/ALESS hybrid,resthybrid50,50% ALESS,,123,522.1341071548385,-0.1204981426771193,4.244992741096248,1,122,4.27978776356425,4.0,4.0,0.0
resolved/prior counts,Casey-like template,casey_T25_a20,Casey T25K a=2.0,25.0,122,541.2718144502024,0.0712648596616934,4.436654216804938,2,120,4.510598453751687,5.0,5.0,0.0
resolved/prior counts,modified blackbody,mbb_T35,MBB 35 K,35.0,121,552.0139042065937,-0.1273984363513046,4.562098381872676,1,120,4.600115868388281,6.0,6.0,0.0
resolved/prior counts,modified blackbody,mbb_T30,MBB 30 K,30.0,122,674.9118733724624,0.1509082282250679,5.532064535839856,1,121,5.577784077458367,7.0,7.0,0.0
resolved/prior counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,123,697.4164600948616,-0.1758334853625934,5.670052521096435,2,121,5.763772397478195,8.0,8.0,0.0
