model_label,model_family,formal_resolved_prior_chi2_over_n,formal_resolved_prior_chi2_over_dof,formal_resolved_prior_median_log_model_over_obs,pd_sensitivity_chi2_over_n,all_counts_chi2_over_n,N_formal_points,k_simple
Casey T30K a=3.0,Casey-like template,3.293526120944874,3.3484182229606216,-0.0017667668076207,4.373122549387785,3.483184952968629,122,2
Casey T30K a=2.5,Casey-like template,3.609797503476041,3.6699607952006414,-0.1033809928802074,2.170755405281092,3.356992810549901,122,2
25% ALESS,FSPS/ALESS hybrid,3.675678375280023,3.7058068865528098,0.094551750527296,6.525415880051532,4.172948006985119,123,1
50% ALESS,FSPS/ALESS hybrid,4.244992741096248,4.27978776356425,-0.1204981426771193,3.993440618527651,4.201097739842667,123,1
Casey T25K a=2.0,Casey-like template,4.436654216804938,4.510598453751687,0.0712648596616934,7.595535165661799,4.9915927618743865,122,2
MBB 35 K,modified blackbody,4.562098381872676,4.600115868388281,-0.1273984363513046,2.8701271224748,4.262838159122031,121,1
MBB 30 K,modified blackbody,5.532064535839856,5.577784077458367,0.1509082282250679,8.290450837984519,6.016645913243647,122,1
Casey T25K a=1.5,Casey-like template,5.670052521096435,5.763772397478195,-0.1758334853625934,3.109307681066448,5.223211139614692,123,2
FSPS,baseline,7.357100620931519,7.3571006209315195,0.2673187850005047,13.328845937834044,8.399150139317195,123,0
ALESS,empirical template,14.218714023856222,14.218714023856222,-0.459955433078105,9.11353038628202,13.32787661058824,123,0
