band_um,flux_cut_mjy,N_wang_observed_finite,N_wang_snr3_observed,N_pop_fsps_all,N_pop_fsps_wangmatched,surface_density_pop_fsps_wangmatched_per_deg2,N_pop_aless_all,N_pop_aless_wangmatched,surface_density_pop_aless_wangmatched_per_deg2,N_pop_aless_bright_all,N_pop_aless_bright_wangmatched,surface_density_pop_aless_bright_wangmatched_per_deg2,N_pop_aless_faint_all,N_pop_aless_faint_wangmatched,surface_density_pop_aless_faint_wangmatched_per_deg2,N_pop_hybrid50_all,N_pop_hybrid50_wangmatched,surface_density_pop_hybrid50_wangmatched_per_deg2,surface_density_wang_snr3_per_deg2,N_pop_fsps_SFRgt10,N_pop_fsps_SFRgt30,N_pop_fsps_SFRgt100
250,5,7064,6037,15545,15237,7618.5,11735,11475,5737.5,12514,12233,6116.5,7636,7460,3730.0,12777,12554,6277.0,3018.5,8877,3626,547
250,10,3849,3668,6762,6634,3317.0,3278,3230,1615.0,3546,3494,1747.0,1768,1737,868.5,4206,4138,2069.0,1834.0,4176,1837,308
250,20,1085,1076,2247,2204,1102.0,583,568,284.0,664,647,323.5,289,282,141.0,952,930,465.0,538.0,1512,753,133
250,50,47,47,313,302,151.0,52,49,24.5,60,57,28.5,27,25,12.5,89,84,42.0,23.5,230,146,46
250,100,2,2,50,47,23.5,10,9,4.5,11,10,5.0,5,5,2.5,15,14,7.0,1.0,41,28,12
350,5,5453,3943,17380,16982,8491.0,7248,7010,3505.0,8015,7750,3875.0,3490,3363,1681.5,10913,10693,5346.5,1971.5,12500,5619,1001
350,10,2609,2367,6662,6557,3278.5,1652,1619,809.5,1902,1864,932.0,676,661,330.5,2979,2931,1465.5,1183.5,5298,3004,575
350,20,609,596,1737,1704,852.0,268,264,132.0,321,316,158.0,116,114,57.0,512,500,250.0,298.0,1499,1025,263
350,50,12,12,160,154,77.0,26,24,12.0,29,27,13.5,13,12,6.0,48,46,23.0,6.0,148,127,64
350,100,0,0,33,32,16.0,5,5,2.5,5,5,2.5,1,1,0.5,8,7,3.5,0.0,30,26,18
500,5,2866,1646,12771,12373,6186.5,2642,2519,1259.5,3050,2904,1452.0,891,855,427.5,5524,5364,2682.0,823.0,11470,6994,1397
500,10,1019,860,3745,3676,1838.0,504,493,246.5,586,573,286.5,153,149,74.5,1157,1131,565.5,430.0,3564,2930,871
500,20,147,144,687,669,334.5,80,77,38.5,97,94,47.0,24,22,11.0,193,191,95.5,72.0,671,629,336
500,50,1,1,62,60,30.0,11,11,5.5,11,11,5.5,1,1,0.5,16,15,7.5,0.5,62,60,53
500,100,0,0,12,11,5.5,1,1,0.5,1,1,0.5,1,1,0.5,2,2,1.0,0.0,12,12,12
850,5,118,114,2737,2539,1269.5,194,186,93.0,240,230,115.0,35,32,16.0,687,662,331.0,57.0,2725,2690,1402
850,10,9,9,535,521,260.5,29,26,13.0,34,31,15.5,7,6,3.0,117,112,56.0,4.5,535,532,486
850,20,0,0,89,85,42.5,5,5,2.5,7,7,3.5,1,1,0.5,19,18,9.0,0.0,89,89,88
850,50,0,0,7,7,3.5,1,1,0.5,1,1,0.5,1,1,0.5,2,2,1.0,0.0,7,7,7
850,100,0,0,2,2,1.0,1,1,0.5,1,1,0.5,0,0,0.0,1,1,0.5,0.0,2,2,2
