band_um,flux_cut_mjy,N_fsps_per_deg2,N_aless_faint_per_deg2,N_aless_per_deg2,N_aless_bright_per_deg2,N_hybrid25_per_deg2,N_hybrid50_per_deg2,N_hybrid75_per_deg2,N_wang_snr3_per_deg2
250,10,3317.0,868.5,1615.0,1747.0,2879.0,2421.0,1963.5,1834.0
250,20,1102.0,141.0,284.0,323.5,835.5,596.0,411.0,538.0
250,50,151.0,12.5,24.5,28.5,99.0,58.5,36.5,23.5
250,100,23.5,2.5,4.5,5.0,17.5,12.5,7.5,1.0
350,10,3278.5,330.5,809.5,932.0,2570.0,1855.5,1262.0,1183.5
350,20,852.0,57.0,132.0,158.0,578.5,358.5,200.0,298.0
350,50,77.0,6.0,12.0,13.5,50.0,30.5,21.5,6.0
350,100,16.0,0.5,2.5,2.5,11.0,5.5,3.5,0.0
500,10,1838.0,74.5,246.5,286.5,1255.5,785.5,435.5,430.0
500,20,334.5,11.0,38.5,47.0,209.0,132.0,73.0,72.0
500,50,30.0,0.5,5.5,5.5,20.0,12.0,6.5,0.5
500,100,5.5,0.5,0.5,0.5,2.5,2.0,0.5,0.0
