sample,z_lo,z_hi,z_mid,count
IRAC Ch1 matched,0.0,0.1,0.05,1238
IRAC Ch1 matched,0.1,0.2,0.15000000000000002,5252
IRAC Ch1 matched,0.2,0.30000000000000004,0.25,10984
IRAC Ch1 matched,0.30000000000000004,0.4,0.35000000000000003,17274
IRAC Ch1 matched,0.4,0.5,0.45,14229
IRAC Ch1 matched,0.5,0.6000000000000001,0.55,15299
IRAC Ch1 matched,0.6000000000000001,0.7000000000000001,0.6500000000000001,17399
IRAC Ch1 matched,0.7000000000000001,0.8,0.75,21209
IRAC Ch1 matched,0.8,0.9,0.8500000000000001,23823
IRAC Ch1 matched,0.9,1.0,0.95,25341
IRAC Ch1 matched,1.0,1.1,1.05,19278
IRAC Ch1 matched,1.1,1.2000000000000002,1.1500000000000001,21574
IRAC Ch1 matched,1.2000000000000002,1.3,1.25,20771
IRAC Ch1 matched,1.3,1.4000000000000001,1.35,18950
IRAC Ch1 matched,1.4000000000000001,1.5,1.4500000000000002,14844
IRAC Ch1 matched,1.5,1.6,1.55,14530
IRAC Ch1 matched,1.6,1.7000000000000002,1.6500000000000001,15069
IRAC Ch1 matched,1.7000000000000002,1.8,1.75,11510
IRAC Ch1 matched,1.8,1.9000000000000001,1.85,8798
IRAC Ch1 matched,1.9000000000000001,2.0,1.9500000000000002,10636
IRAC Ch1 matched,2.0,2.1,2.05,9400
IRAC Ch1 matched,2.1,2.2,2.1500000000000004,9704
IRAC Ch1 matched,2.2,2.3000000000000003,2.25,9828
IRAC Ch1 matched,2.3000000000000003,2.4000000000000004,2.3500000000000005,10180
IRAC Ch1 matched,2.4000000000000004,2.5,2.45,6399
IRAC Ch1 matched,2.5,2.6,2.55,6944
IRAC Ch1 matched,2.6,2.7,2.6500000000000004,9959
IRAC Ch1 matched,2.7,2.8000000000000003,2.75,6560
IRAC Ch1 matched,2.8000000000000003,2.9000000000000004,2.8500000000000005,4838
IRAC Ch1 matched,2.9000000000000004,3.0,2.95,3892
IRAC Ch1 matched,3.0,3.1,3.05,4019
IRAC Ch1 matched,3.1,3.2,3.1500000000000004,3944
IRAC Ch1 matched,3.2,3.3000000000000003,3.25,2099
IRAC Ch1 matched,3.3000000000000003,3.4000000000000004,3.3500000000000005,2403
IRAC Ch1 matched,3.4000000000000004,3.5,3.45,5510
IRAC Ch1 matched,3.5,3.6,3.55,3548
IRAC Ch1 matched,3.6,3.7,3.6500000000000004,1425
IRAC Ch1 matched,3.7,3.8000000000000003,3.75,1400
IRAC Ch1 matched,3.8000000000000003,3.9000000000000004,3.8500000000000005,1754
IRAC Ch1 matched,3.9000000000000004,4.0,3.95,2024
IRAC Ch1 matched,4.0,4.1000000000000005,4.050000000000001,950
IRAC Ch1 matched,4.1000000000000005,4.2,4.15,793
IRAC Ch1 matched,4.2,4.3,4.25,881
IRAC Ch1 matched,4.3,4.4,4.35,1511
IRAC Ch1 matched,4.4,4.5,4.45,949
IRAC Ch1 matched,4.5,4.6000000000000005,4.550000000000001,888
IRAC Ch1 matched,4.6000000000000005,4.7,4.65,680
IRAC Ch1 matched,4.7,4.800000000000001,4.75,587
IRAC Ch1 matched,4.800000000000001,4.9,4.8500000000000005,291
IRAC Ch1 matched,4.9,5.0,4.95,282
IRAC Ch1 matched,5.0,5.1000000000000005,5.050000000000001,131
IRAC Ch1 matched,5.1000000000000005,5.2,5.15,108
IRAC Ch1 matched,5.2,5.300000000000001,5.25,113
IRAC Ch1 matched,5.300000000000001,5.4,5.3500000000000005,119
IRAC Ch1 matched,5.4,5.5,5.45,187
IRAC Ch1 matched,5.5,5.6000000000000005,5.550000000000001,218
IRAC Ch1 matched,5.6000000000000005,5.7,5.65,93
IRAC Ch1 matched,5.7,5.800000000000001,5.75,94
IRAC Ch1 matched,5.800000000000001,5.9,5.8500000000000005,163
IRAC Ch1 matched,5.9,6.0,5.95,396
IRAC Ch1 matched,6.0,6.1000000000000005,6.050000000000001,0
IRAC Ch1 matched,6.1000000000000005,6.2,6.15,0
IRAC Ch1 matched,6.2,6.300000000000001,6.25,0
IRAC Ch1 matched,6.300000000000001,6.4,6.3500000000000005,0
IRAC Ch1 matched,6.4,6.5,6.45,0
IRAC Ch2 matched,0.0,0.1,0.05,1207
IRAC Ch2 matched,0.1,0.2,0.15000000000000002,4968
IRAC Ch2 matched,0.2,0.30000000000000004,0.25,10449
IRAC Ch2 matched,0.30000000000000004,0.4,0.35000000000000003,16740
IRAC Ch2 matched,0.4,0.5,0.45,13644
IRAC Ch2 matched,0.5,0.6000000000000001,0.55,14687
IRAC Ch2 matched,0.6000000000000001,0.7000000000000001,0.6500000000000001,16989
IRAC Ch2 matched,0.7000000000000001,0.8,0.75,20579
IRAC Ch2 matched,0.8,0.9,0.8500000000000001,23174
IRAC Ch2 matched,0.9,1.0,0.95,24730
IRAC Ch2 matched,1.0,1.1,1.05,18764
IRAC Ch2 matched,1.1,1.2000000000000002,1.1500000000000001,21192
IRAC Ch2 matched,1.2000000000000002,1.3,1.25,20442
IRAC Ch2 matched,1.3,1.4000000000000001,1.35,18660
IRAC Ch2 matched,1.4000000000000001,1.5,1.4500000000000002,14672
IRAC Ch2 matched,1.5,1.6,1.55,14324
IRAC Ch2 matched,1.6,1.7000000000000002,1.6500000000000001,14882
IRAC Ch2 matched,1.7000000000000002,1.8,1.75,11373
IRAC Ch2 matched,1.8,1.9000000000000001,1.85,8729
IRAC Ch2 matched,1.9000000000000001,2.0,1.9500000000000002,10532
IRAC Ch2 matched,2.0,2.1,2.05,9278
