channel,z_lo,z_hi,N,median_resid_mag,p16_resid_mag,p84_resid_mag
Ch1,0.0,0.5,48977,-0.023386560625361597,-0.21302170204767634,0.3010022306382235
Ch1,0.5,1.0,103071,0.03551899785125556,-0.09167305861725053,0.2004723788720149
Ch1,1.0,1.5,95417,0.050018568171431355,-0.06802609907814997,0.19180957908738677
Ch1,1.5,2.0,60543,0.02280474391386278,-0.08447088255346842,0.1443831362332156
Ch1,2.0,2.5,45511,-0.0252524496712212,-0.15012334021077933,0.09248650238662677
Ch1,2.5,3.0,32193,0.014882619354700921,-0.11177923511142068,0.182517862733442
Ch1,3.0,4.0,28126,-0.02234069004251893,-0.14168433417106385,0.09633555963326756
Ch1,4.0,5.0,7812,0.009697042941896328,-0.1000866171385492,0.13621287504671153
Ch1,5.0,6.5,1622,0.1046078584789285,-0.008851725580876034,0.3831469595811678
Ch2,0.0,0.5,47008,-0.06041799299097761,-0.2912022094455142,0.02044169594051965
Ch2,0.5,1.0,100159,-0.02229577613072209,-0.145558575552055,0.02179668221317499
Ch2,1.0,1.5,93730,-0.013928151328777005,-0.084258654416644,0.03158998288923471
Ch2,1.5,2.0,59840,0.003640663907944486,-0.055538735077102074,0.059212581675002554
Ch2,2.0,2.5,44935,0.0014306526062846103,-0.0712228760690897,0.06578853634818668
Ch2,2.5,3.0,31757,0.007482359017153328,-0.06804105757483996,0.08548059533071106
Ch2,3.0,4.0,27798,0.0049016219972628505,-0.09353737268297337,0.09534074094536635
Ch2,4.0,5.0,7509,0.012126892802992728,-0.08213075657354793,0.10197197348776589
Ch2,5.0,6.5,1536,-0.06737526530675808,-0.587807828326853,0.04342187937602233
