count_regime,model,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
P(D) statistical,mbb_T35,35,26,74.62330518434479,-0.045795666281333955,2.8701271224747993
P(D) statistical,mbb_T40,40,26,215.28310142835159,-0.31851862566759487,8.28011928570583
P(D) statistical,mbb_T30,30,26,215.5517217875975,0.301915737757415,8.290450837984519
P(D) statistical,mbb_T45,45,26,510.72691024091483,-0.5955255451990364,19.643342701573648
P(D) statistical,mbb_T25,25,26,724.1565151397947,0.6992580265572081,27.852173659222874
P(D) statistical,mbb_T50,50,25,767.2907523810657,-0.8660313992275023,30.691630095242626
P(D) statistical,mbb_T20,20,26,1806.864291514226,1.0762110824970794,69.49478044285485
resolved/prior,mbb_T35,35,121,552.0139042065937,-0.1273984363513046,4.5620983818726755
resolved/prior,mbb_T30,30,122,674.9118733724624,0.15090822822506797,5.532064535839856
resolved/prior,mbb_T40,40,122,1609.8869112264185,-0.4260536041668092,13.195794354314906
resolved/prior,mbb_T25,25,122,2603.7285725328766,0.47012613484458243,21.342037479777677
resolved/prior,mbb_T45,45,122,3079.0715065281815,-0.6473699679447343,25.23829103711624
resolved/prior,mbb_T50,50,120,4418.642346808871,-1.013780749482296,36.822019556740585
resolved/prior,mbb_T20,20,123,5996.872402529605,0.7817942536322081,48.75506018316752
