band_um,model,T_dust_K,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,external_source
250,mbb_T20,20,13,695.8925669246229,53.53019745574022,0.6801640867719161,Clements et al. / Table 1
350,mbb_T20,20,12,1223.5026390263952,101.9585532521996,1.11122789925656,Clements et al. / Table 1
500,mbb_T20,20,10,1251.22314079445,125.122314079445,1.580796403540768,Clements et al. / Table 1
all,mbb_T20,20,35,3170.618346745468,90.58909562129908,1.11122789925656,Clements et al. / Table 1
250,mbb_T25,25,13,285.2748924636052,21.944222497200403,0.43617123105001915,Clements et al. / Table 1
350,mbb_T25,25,12,458.8161993454685,38.23468327878904,0.6976525024260785,Clements et al. / Table 1
500,mbb_T25,25,9,469.94395286289995,52.21599476254444,1.0907249965840098,Clements et al. / Table 1
all,mbb_T25,25,34,1214.0350446719738,35.70691307858746,0.6976525024260785,Clements et al. / Table 1
250,mbb_T30,30,13,43.78206898106799,3.3678514600821527,0.108107040188405,Clements et al. / Table 1
350,mbb_T30,30,11,83.17943172398827,7.56176652036257,0.29162138249997926,Clements et al. / Table 1
500,mbb_T30,30,10,75.2437204879632,7.52437204879632,0.5127898010493452,Clements et al. / Table 1
all,mbb_T30,30,34,202.20522119301947,5.9472123880299845,0.29162138249997926,Clements et al. / Table 1
250,mbb_T35,35,12,32.665986194654366,2.7221655162211973,-0.1763260009141966,Clements et al. / Table 1
350,mbb_T35,35,11,44.77737945787066,4.070670859806423,-0.11145077337122837,Clements et al. / Table 1
500,mbb_T35,35,10,18.31983035314919,1.831983035314919,0.24962808666365136,Clements et al. / Table 1
all,mbb_T35,35,33,95.7631960056742,2.9019150304749757,-0.11145077337122837,Clements et al. / Table 1
250,mbb_T40,40,12,175.3968384484024,14.616403204033533,-0.43347093148318766,Clements et al. / Table 1
350,mbb_T40,40,12,167.22107386355015,13.93508948862918,-0.41863627685043076,Clements et al. / Table 1
500,mbb_T40,40,10,24.85184538413138,2.485184538413138,-0.284853069321906,Clements et al. / Table 1
all,mbb_T40,40,34,367.4697576960839,10.807934049884821,-0.41863627685043076,Clements et al. / Table 1
250,mbb_T45,45,13,345.1690112252635,26.551462401943347,-0.66530518163743,Clements et al. / Table 1
350,mbb_T45,45,12,266.63340895567256,22.219450746306048,-0.5636425096273823,Clements et al. / Table 1
500,mbb_T45,45,9,32.24709438245706,3.583010486939673,-0.45463195901909925,Clements et al. / Table 1
all,mbb_T45,45,34,644.049514563393,18.942632781276266,-0.5636425096273823,Clements et al. / Table 1
