external_source,paper,method_or_table,band_um,flux_mjy,flux_regime,model_label,observed_euclidean_jy15_deg2,model_euclidean_jy15_deg2,log10_model_over_obs,sigma_log,chi2_log
Clements et al. / Table 1,Clements et al.,Table 1,250,34.0,30-100 mJy,25% ALESS,7.006200655094297,5.885271449354955,-0.07571607237354083,0.08408904588303276,0.8107693189339731
Clements et al. / Table 1,Clements et al.,Table 1,250,38.0,30-100 mJy,25% ALESS,6.549274525414234,5.456713098100872,-0.07926207495662452,0.0840610987984213,0.889079812988717
Clements et al. / Table 1,Clements et al.,Table 1,250,42.0,30-100 mJy,25% ALESS,5.635422266054109,5.093128558199706,-0.043941825026381,0.08544506480941885,0.2644735311456018
Clements et al. / Table 1,Clements et al.,Table 1,250,47.0,30-100 mJy,25% ALESS,4.873878716587337,4.713348237529436,-0.01454518980077013,0.08697015211964645,0.027970377387878706
Clements et al. / Table 1,Clements et al.,Table 1,250,52.0,30-100 mJy,25% ALESS,4.26464387701392,4.341847648650119,0.007791809541006556,0.08877845075719544,0.007703028995108887
Clements et al. / Table 1,Clements et al.,Table 1,250,56.0,30-100 mJy,25% ALESS,3.655409037440503,4.043588151200142,0.04383093404534921,0.0911900387476243,0.23102908113483117
Clements et al. / Table 1,Clements et al.,Table 1,250,63.0,30-100 mJy,25% ALESS,2.9243272299524024,3.611137404043271,0.0916180454569106,0.0934439532827513,0.961301539242278
Clements et al. / Table 1,Clements et al.,Table 1,250,73.0,30-100 mJy,25% ALESS,2.315092390378985,3.0118928120669097,0.11427118456947172,0.0996910808118003,1.3138955747321577
Clements et al. / Table 1,Clements et al.,Table 1,250,83.0,30-100 mJy,25% ALESS,1.7363192927842388,2.2664515601394197,0.11571685065705578,0.11061951609353955,1.0942831254833107
Clements et al. / Table 1,Clements et al.,Table 1,250,93.0,30-100 mJy,25% ALESS,1.279393163104176,1.7616470902876478,0.13891488525494244,0.12555811983174542,1.2240748122739593
Clements et al. / Table 1,Clements et al.,Table 1,250,125.0,100-300 mJy,25% ALESS,0.8833905173814548,1.6641280165257417,0.2750339991698955,0.13948848157202462,3.8877298057866962
Clements et al. / Table 1,Clements et al.,Table 1,250,175.0,100-300 mJy,25% ALESS,0.4569261296800628,1.812840642928421,0.5985136350437225,0.17529952621253841,11.656995071369233
Clements et al. / Table 1,Clements et al.,Table 1,250,250.0,100-300 mJy,25% ALESS,0.3350791617653794,0.7004280994166745,0.32021614022518,0.3075844119915505,1.0838215760710492
Clements et al. / Table 1,Clements et al.,Table 1,350,38.0,30-100 mJy,25% ALESS,3.9600264572272112,3.361940827892073,-0.0711080221524717,0.08748398011381338,0.6606632229972844
Clements et al. / Table 1,Clements et al.,Table 1,350,41.0,30-100 mJy,25% ALESS,3.3507916176537944,3.05192694020458,-0.040573287467844166,0.08820474907282005,0.21159064304263342
Clements et al. / Table 1,Clements et al.,Table 1,350,46.0,30-100 mJy,25% ALESS,2.8634037459950603,2.636011289862293,-0.03593532280081002,0.09158575505054985,0.15395267538359167
Clements et al. / Table 1,Clements et al.,Table 1,350,50.0,30-100 mJy,25% ALESS,2.0104749705922766,2.3669865477793217,0.07089711900031503,0.0951636795276011,0.5550277831120983
Clements et al. / Table 1,Clements et al.,Table 1,350,55.0,30-100 mJy,25% ALESS,1.5230870989335428,2.0522514518790946,0.12950583206497362,0.10109189846165499,1.6411411990836842
Clements et al. / Table 1,Clements et al.,Table 1,350,61.0,30-100 mJy,25% ALESS,1.279393163104176,1.7575769748303134,0.13791032888726745,0.10452419261688038,1.7408443614885025
Clements et al. / Table 1,Clements et al.,Table 1,350,71.0,30-100 mJy,25% ALESS,0.852928775402784,1.4096602392145319,0.21820168370944598,0.11892675900815426,3.366332636014658
Clements et al. / Table 1,Clements et al.,Table 1,350,82.0,30-100 mJy,25% ALESS,0.6092348395734172,1.4375207775377545,0.3728293997367492,0.13203535286327767,7.97333189813508
Clements et al. / Table 1,Clements et al.,Table 1,350,91.0,30-100 mJy,25% ALESS,0.2741556778080377,1.4580062556654751,0.7257621427321471,0.1696447632511955,18.302385792239175
Clements et al. / Table 1,Clements et al.,Table 1,350,125.0,100-300 mJy,25% ALESS,0.213232193850696,1.2167781510931206,0.7563586275708528,0.17365970944072046,18.96956579451924
Clements et al. / Table 1,Clements et al.,Table 1,350,175.0,100-300 mJy,25% ALESS,0.1523087098933543,0.41912269305152167,0.4396164364682591,0.33042453783308134,1.7701222482073593
Clements et al. / Table 1,Clements et al.,Table 1,350,250.0,100-300 mJy,25% ALESS,0.1827704518720251,0.27547176451252003,0.1781711053000703,0.4647241679051419,0.14698872792038623
Clements et al. / Table 1,Clements et al.,Table 1,500,48.0,30-100 mJy,25% ALESS,0.5787730975947463,0.8763340985123784,0.18016137446053668,0.12684733645498522,2.01725438522501
Clements et al. / Table 1,Clements et al.,Table 1,500,52.0,30-100 mJy,25% ALESS,0.3960026457227211,0.8056401904156295,0.3084430359462903,0.12259267226251623,6.330250767959808
Clements et al. / Table 1,Clements et al.,Table 1,500,56.0,30-100 mJy,25% ALESS,0.3350791617653794,0.7686634484037007,0.3605888095859022,0.14071664824325578,6.566493603995783
Clements et al. / Table 1,Clements et al.,Table 1,500,60.0,30-100 mJy,25% ALESS,0.2315092390378985,0.7357660228383223,0.5021714010795013,0.16662688502392756,9.082675545815636
Clements et al. / Table 1,Clements et al.,Table 1,500,63.0,30-100 mJy,25% ALESS,0.1766781034762909,0.7133552171284698,0.6061231130611378,0.16801508797285072,13.014429131571925
Clements et al. / Table 1,Clements et al.,Table 1,500,70.0,30-100 mJy,25% ALESS,0.1766781034762909,0.6672611983436514,0.5771131423444679,0.15343926865171037,14.146496263228872
Clements et al. / Table 1,Clements et al.,Table 1,500,82.0,30-100 mJy,25% ALESS,0.1127084453210821,0.5853998932774086,0.715496179674137,0.19196341617408466,13.892413405661385
Clements et al. / Table 1,Clements et al.,Table 1,500,95.0,30-100 mJy,25% ALESS,0.0578773097594746,0.5173005297954867,0.951234587059324,0.2866611896803724,11.011271424925814
Clements et al. / Table 1,Clements et al.,Table 1,500,150.0,100-300 mJy,25% ALESS,0.0426464387701392,0.25151397980485785,0.7706793584261835,0.3556209861638597,4.696482305511504
Clements et al. / Table 1,Clements et al.,Table 1,500,250.0,100-300 mJy,25% ALESS,0.0868159646392119,0.44285934921157605,0.7076662223189405,0.4194867409572767,2.845905381546716
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,19.5,10-30 mJy,25% ALESS,9.017507836501386,7.456708813011287,-0.08253934433019905,0.08976658090125568,0.8454592144533919
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,41.8,30-100 mJy,25% ALESS,3.8809737424406254,5.109905582687119,0.11947217117720199,0.09566171626304366,1.5597578352540187
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,89.3,30-100 mJy,25% ALESS,1.510527538139541,1.9273968832691855,0.10584250514358928,0.12653538006167026,0.6996748657631845
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,250,191.0,100-300 mJy,25% ALESS,0.0252687301851443,1.821394748961734,1.8578206620615239,0.34051345968364527,29.767270286755792
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,19.5,10-30 mJy,25% ALESS,4.831550557897798,6.3211415698129905,0.11670898859447654,0.10224019428997688,1.3030625960187388
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,41.8,30-100 mJy,25% ALESS,2.523136257402593,2.9777545502985285,0.07194819252319357,0.11156688461486348,0.41588108095051
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,89.3,30-100 mJy,25% ALESS,0.3069931232350126,1.454275161289093,0.6755179393040366,0.1755796699712044,14.802167585866334
Glenn et al. / Table 4 P(D) spline no FIRAS,Glenn et al.,Table 4 P(D) spline no FIRAS,350,191.0,100-300 mJy,25% ALESS,0.1454063651432898,0.27732111942676313,0.2803995264720517,0.4095889479280837,0.46866022092863163
