model_label,band_um,flux_regime,N_points,chi2_log,median_log10_model_over_obs,mean_abs_log10_model_over_obs,reduced_chi2_log
FSPS,250,10-30 mJy,17,66.80865572399608,0.10943739343470371,0.1455476365958629,3.929920924940946
FSPS,250,30-100 mJy,32,102.43074811564696,0.20370996046008816,0.18698382222665777,3.2009608786139676
FSPS,250,100-300 mJy,7,106.50791963127128,0.6888246868250416,0.7712816570807235,15.215417090181612
FSPS,350,10-30 mJy,17,166.34686578706464,0.23396917652057148,0.28406782962148147,9.785109752180274
FSPS,350,30-100 mJy,27,157.76408509482505,0.2270336619354522,0.27141669221549136,5.843114262771298
FSPS,350,100-300 mJy,7,125.53686253626076,0.8166669092098687,0.8318635658476187,17.933837505180108
FSPS,500,10-30 mJy,15,178.5531517451669,0.36141667360231616,0.4030658840699048,11.903543449677793
FSPS,500,30-100 mJy,22,231.89038199668283,0.5522270455241065,0.4850512328212265,10.540471908940129
FSPS,500,100-300 mJy,5,115.63470012734753,1.0763930734118592,1.1313663106768872,23.126940025469505
25% ALESS,250,10-30 mJy,17,57.88211830930328,0.055703262883330606,0.13784518097039566,3.404830488782546
25% ALESS,250,30-100 mJy,32,16.247156979045364,0.014046454408679243,0.07926805487771271,0.5077236555951676
25% ALESS,250,100-300 mJy,7,62.83863896578836,0.39960237402449084,0.605278225537363,8.976948423684052
25% ALESS,350,10-30 mJy,17,108.69382624639701,0.11325013509732007,0.19775408357213814,6.393754485082177
25% ALESS,350,30-100 mJy,27,66.50975710339068,0.04911335351235621,0.17068566214246328,2.463324337162618
25% ALESS,350,100-300 mJy,7,55.95875703220755,0.40039036862128263,0.44377109206142284,7.994108147458221
25% ALESS,500,10-30 mJy,15,88.47935009116993,0.1791361300939585,0.24232587809678252,5.898623339411329
25% ALESS,500,30-100 mJy,22,116.76038267823128,0.32726293753285085,0.36938085297878087,5.307290121737785
25% ALESS,500,100-300 mJy,5,48.39926563524918,0.8006155221662945,0.874496079536007,9.679853127049835
50% ALESS,250,10-30 mJy,17,65.49676229599773,-0.01348534419968539,0.1456094748446466,3.8527507232939837
50% ALESS,250,30-100 mJy,32,93.39484872901977,-0.17512033435181007,0.18487606416301747,2.918589022781868
50% ALESS,250,100-300 mJy,7,26.459351751390777,0.29711576098146797,0.4378477918165099,3.7799073930558253
50% ALESS,350,10-30 mJy,17,85.24286994461931,-0.03611986421455138,0.18923737769996574,5.014286467330548
