model_id,model_family,model_label,all scored counts reduced_chi2_log,all scored counts median_log10_model_over_obs,resolved/prior counts reduced_chi2_log,resolved/prior counts median_log10_model_over_obs,P(D) statistical counts reduced_chi2_log,P(D) statistical counts median_log10_model_over_obs
Casey-like template | Casey T30K a=2.5,Casey-like template,Casey T30K a=2.5,3.356992810549901,-0.0252078489511851,3.609797503476041,-0.1033809928802074,2.170755405281092,0.0259790750400377
Casey-like template | Casey T30K a=3.0,Casey-like template,Casey T30K a=3.0,3.483184952968629,0.0669941262400212,3.293526120944874,-0.0017667668076207,4.373122549387785,0.1459760537829413
FSPS/ALESS hybrid | 25% ALESS,FSPS/ALESS hybrid,25% ALESS,4.172948006985119,0.1193684125801865,3.675678375280023,0.094551750527296,6.525415880051532,0.1623168722666207
FSPS/ALESS hybrid | 50% ALESS,FSPS/ALESS hybrid,50% ALESS,4.201097739842667,-0.0636563512476162,4.244992741096248,-0.1204981426771193,3.993440618527651,0.0213633021892418
modified blackbody | MBB 35 K,modified blackbody,MBB 35 K,4.262838159122031,-0.1077000231479746,4.562098381872676,-0.1273984363513046,2.8701271224748,-0.0457956662813339
Casey-like template | Casey T25K a=2.0,Casey-like template,Casey T25K a=2.0,4.9915927618743865,0.1275456020218179,4.436654216804938,0.0712648596616934,7.595535165661799,0.2804626732197491
Casey-like template | Casey T25K a=1.5,Casey-like template,Casey T25K a=1.5,5.223211139614692,-0.1112190461394424,5.670052521096435,-0.1758334853625934,3.109307681066448,0.0022937506514398
Casey-like template | Casey T30K a=2.0,Casey-like template,Casey T30K a=2.0,5.944495445370231,-0.1537594017285092,6.448314616765979,-0.2677346624114439,3.561043211459581,-0.1254527744587964
modified blackbody | MBB 30 K,modified blackbody,MBB 30 K,6.016645913243647,0.2174361607358879,5.532064535839856,0.1509082282250679,8.290450837984519,0.301915737757415
Casey-like template | Casey T35K a=3.0,Casey-like template,Casey T35K a=3.0,7.1094533022753215,-0.2562674857077701,7.751183080336491,-0.2680035413435244,4.098259728295982,-0.1949098070589007
FSPS/ALESS hybrid | 75% ALESS,FSPS/ALESS hybrid,75% ALESS,8.050474841033331,-0.2131889602179415,8.599163893521997,-0.3335977091544447,5.454753554260037,-0.1415929786994841
baseline | FSPS,baseline,FSPS,8.399150139317195,0.3136601776912623,7.357100620931519,0.2673187850005047,13.328845937834044,0.4314924868868874
Casey-like template | Casey T25K a=2.5,Casey-like template,Casey T25K a=2.5,8.91767785230127,0.2912633607178251,8.24239145963106,0.218673674700745,12.086329387138411,0.4438381995756412
Casey-like template | Casey T35K a=2.5,Casey-like template,Casey T35K a=2.5,9.941290237754112,-0.3364532202128003,10.683958517900596,-0.3593032245556496,6.456462153989829,-0.263070335995847
modified blackbody | MBB 40 K,modified blackbody,MBB 40 K,12.332229815234934,-0.4003097539459226,13.195794354314906,-0.4260536041668092,8.28011928570583,-0.3185186256675948
Casey-like template | Casey T25K a=3.0,Casey-like template,Casey T25K a=3.0,13.083938584608834,0.3998896658139924,12.1106538461399,0.3168284337767269,17.650890049732304,0.5521970128616156
empirical template | ALESS,empirical template,ALESS,13.32787661058824,-0.413555114044723,14.218714023856222,-0.459955433078105,9.11353038628202,-0.3255198348808257
Casey-like template | Casey T30K a=1.5,Casey-like template,Casey T30K a=1.5,13.594612646664755,-0.4012200072527491,14.599264939755685,-0.4498191375460477,8.841834490888443,-0.3030863600139047
Casey-like template | Casey T35K a=2.0,Casey-like template,Casey T35K a=2.0,15.81250388465858,-0.5124797575661393,16.77647246111475,-0.525462912487187,11.252191003731324,-0.4161733311406465
Casey-like template | Casey T40K a=3.0,Casey-like template,Casey T40K a=3.0,17.748242775098554,-0.5466042723546567,18.697824659662302,-0.5619184119415307,13.255990013508486,-0.4552470297759751
Casey-like template | Casey T40K a=2.5,Casey-like template,Casey T40K a=2.5,21.76494244526076,-0.6143873835801443,22.783315048945067,-0.6254372491869338,16.947256666292667,-0.5526252759641346
modified blackbody | MBB 25 K,modified blackbody,MBB 25 K,22.48571005184237,0.5733413521056469,21.34203747977768,0.4701261348445824,27.85217365922288,0.6992580265572081
modified blackbody | MBB 45 K,modified blackbody,MBB 45 K,24.255394707899303,-0.6367048532903705,25.23829103711624,-0.6473699679447343,19.643342701573648,-0.5955255451990364
Casey-like template | Casey T35K a=1.5,Casey-like template,Casey T35K a=1.5,25.51439510453289,-0.6966326145492994,26.848087834904053,-0.7688800076192208,19.20500257239238,-0.6246945000788553
Casey-like template | Casey T40K a=2.0,Casey-like template,Casey T40K a=2.0,28.02164975043271,-0.7867246449112155,29.233146270997413,-0.7998229845172755,22.290339287761256,-0.6819107340527922
