external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Oliver et al. / Table 2,casey::casey_T30_a25,casey_T30_a25,Casey T30K a=2.5,Casey-like template,30,12.391903607842863,0.0775848012400175,0.4130634535947621
Oliver et al. / Table 2,mbb::mbb_T35,mbb_T35,MBB 35 K,modified blackbody,30,16.564037036211424,-0.0726527903227191,0.5521345678737142
Oliver et al. / Table 2,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,30,21.20268339514886,0.1650999756838009,0.7067561131716287
Oliver et al. / Table 2,casey::casey_T25_a15,casey_T25_a15,Casey T25K a=1.5,Casey-like template,30,24.307246736011745,0.0373535679103994,0.8102415578670582
Oliver et al. / Table 2,hybrid::resthybrid50,resthybrid50,50% ALESS,FSPS/ALESS hybrid,30,30.409441270947816,0.1020014625963358,1.0136480423649272
Pearson et al. / Table 4 XID,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,58,62.057489316088905,-0.0150951885442942,1.0699567123463605
Oliver et al. / Table 2,hybrid::resthybrid25,resthybrid25,25% ALESS,FSPS/ALESS hybrid,30,33.73092576627962,0.2892605642771401,1.1243641922093206
Oliver et al. / Table 2,casey::casey_T35_a30,casey_T35_a30,Casey T35K a=3.0,Casey-like template,30,37.406322340670854,-0.2223048384495787,1.246877411355695
Oliver et al. / Table 2,casey::casey_T30_a20,casey_T30_a20,Casey T30K a=2.0,Casey-like template,30,42.03113526760226,-0.1465169215156822,1.4010378422534087
Pearson et al. / Table 4 XID,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,58,83.08899629982852,-0.0968693813854892,1.4325689017211813
Pearson et al. / Table 4 XID,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,58,86.71064133287948,-0.0015959846631798,1.4950110574634392
Oliver et al. / Table 2,casey::casey_T25_a20,casey_T25_a20,Casey T25K a=2.0,Casey-like template,30,46.69208677012208,0.2762806815285514,1.5564028923374027
Oliver et al. / Table 2,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,30,54.75957537337912,-0.1499891333678921,1.8253191791126373
Pearson et al. / Table 4 XID,casey::casey_T30_a25,casey_T30_a25,Casey T30K a=2.5,Casey-like template,58,112.6089191869371,-0.1791989931534361,1.94153308942995
Pearson et al. / Table 4 XID,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,58,119.62009972924729,0.1258096911424688,2.062415512573229
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T35,mbb_T35,MBB 35 K,modified blackbody,30,64.2171461485045,-0.0903877045223306,2.140571538283483
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T30_a25,casey_T30_a25,Casey T30K a=2.5,Casey-like template,22,47.345524071873086,0.1438325532760379,2.152069275994231
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T30_a25,casey_T30_a25,Casey T30K a=2.5,Casey-like template,30,65.5337570027437,-0.0062092759001711,2.1844585667581233
Pearson et al. / Table 4 XID,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,58,127.07207566898059,0.0716662097583806,2.190897856361734
Oliver et al. / Table 2,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,30,66.2342838169527,-0.3293273694933001,2.2078094605650898
Clements et al. / Table 1,casey::casey_T30_a30,casey_T30_a30,Casey T30K a=3.0,Casey-like template,68,152.24069488519532,0.1083745615905487,2.238833748311696
Oliver et al. / Table 2,mbb::mbb_T30,mbb_T30,MBB 30 K,modified blackbody,30,67.9201520829514,0.2970291860147688,2.2640050694317133
