regime,model_family,model_key,model_label,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
P(D) statistical counts,Casey-like template,casey_T30_a25,Casey T30K a=2.5,30.0,26,56.43964053730839,0.0259790750400377,2.170755405281092
P(D) statistical counts,modified blackbody,mbb_T35,MBB 35 K,35.0,26,74.62330518434479,-0.0457956662813339,2.8701271224747997
P(D) statistical counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,26,80.84199970772765,0.0022937506514398,3.109307681066448
P(D) statistical counts,Casey-like template,casey_T30_a20,Casey T30K a=2.0,30.0,26,92.58712349794912,-0.1254527744587964,3.561043211459581
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid50,50% ALESS,,26,103.82945608171892,0.0213633021892418,3.993440618527651
P(D) statistical counts,Casey-like template,casey_T35_a30,Casey T35K a=3.0,35.0,26,106.55475293569556,-0.1949098070589007,4.098259728295982
P(D) statistical counts,Casey-like template,casey_T30_a30,Casey T30K a=3.0,30.0,26,113.7011862840824,0.1459760537829413,4.373122549387785
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid75,75% ALESS,,26,141.82359241076097,-0.1415929786994841,5.454753554260037
P(D) statistical counts,Casey-like template,casey_T35_a25,Casey T35K a=2.5,35.0,26,167.86801600373556,-0.263070335995847,6.456462153989829
P(D) statistical counts,FSPS/ALESS hybrid,resthybrid25,25% ALESS,,26,169.66081288133984,0.1623168722666207,6.525415880051532
P(D) statistical counts,Casey-like template,casey_T25_a20,Casey T25K a=2.0,25.0,26,197.4839143072068,0.2804626732197491,7.595535165661799
P(D) statistical counts,modified blackbody,mbb_T40,MBB 40 K,40.0,26,215.2831014283516,-0.3185186256675948,8.28011928570583
P(D) statistical counts,modified blackbody,mbb_T30,MBB 30 K,30.0,26,215.5517217875975,0.301915737757415,8.290450837984519
P(D) statistical counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,26,229.88769676309957,-0.3030863600139047,8.841834490888443
P(D) statistical counts,empirical template,aless,ALESS,,26,236.9517900433325,-0.3255198348808257,9.11353038628202
P(D) statistical counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,26,292.5569660970144,-0.4161733311406465,11.252191003731324
P(D) statistical counts,Casey-like template,casey_T25_a25,Casey T25K a=2.5,25.0,26,314.24456406559875,0.4438381995756412,12.086329387138411
P(D) statistical counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,26,344.65574035122063,-0.4552470297759751,13.255990013508486
P(D) statistical counts,baseline,fsps_lirnorm,FSPS,,26,346.54999438368515,0.4314924868868874,13.328845937834044
P(D) statistical counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,26,440.6286733236093,-0.5526252759641346,16.947256666292667
P(D) statistical counts,Casey-like template,casey_T25_a30,Casey T25K a=3.0,25.0,26,458.9231412930399,0.5521970128616156,17.650890049732304
P(D) statistical counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,26,499.3300668822019,-0.6246945000788553,19.20500257239238
P(D) statistical counts,modified blackbody,mbb_T45,MBB 45 K,45.0,26,510.7269102409148,-0.5955255451990364,19.643342701573648
P(D) statistical counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,26,579.5488214817926,-0.6819107340527922,22.290339287761256
P(D) statistical counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,26,640.0093730778678,-0.7196416678162855,24.61574511837953
P(D) statistical counts,modified blackbody,mbb_T25,MBB 25 K,25.0,26,724.1565151397947,0.6992580265572081,27.852173659222878
P(D) statistical counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,26,733.7814841522688,-0.7968989658437582,28.222364775087264
P(D) statistical counts,modified blackbody,mbb_T50,MBB 50 K,50.0,25,767.2907523810657,-0.8660313992275023,30.691630095242623
P(D) statistical counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,26,800.0936725979518,-0.8306835777162567,30.772833561459684
