regime,model_family,model_key,model_label,T_dust_K,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
all scored counts,Casey-like template,casey_T30_a25,Casey T30K a=2.5,30.0,148,496.8349359613853,-0.0252078489511851,3.356992810549901
all scored counts,Casey-like template,casey_T30_a30,Casey T30K a=3.0,30.0,148,515.5113730393571,0.0669941262400212,3.483184952968629
all scored counts,FSPS/ALESS hybrid,25% ALESS,25% ALESS,,149,621.7692530407827,0.1193684125801865,4.172948006985119
all scored counts,FSPS/ALESS hybrid,50% ALESS,50% ALESS,,149,625.9635632365574,-0.0636563512476162,4.201097739842667
all scored counts,modified blackbody,mbb_T35,MBB 35 K,35.0,147,626.6372093909384,-0.1077000231479746,4.262838159122031
all scored counts,Casey-like template,casey_T25_a20,Casey T25K a=2.0,25.0,148,738.7557287574092,0.1275456020218179,4.9915927618743865
all scored counts,Casey-like template,casey_T25_a15,Casey T25K a=1.5,25.0,149,778.2584598025892,-0.1112190461394424,5.223211139614692
all scored counts,Casey-like template,casey_T30_a20,Casey T30K a=2.0,30.0,149,885.7298213601645,-0.1537594017285092,5.944495445370231
all scored counts,modified blackbody,mbb_T30,MBB 30 K,30.0,148,890.4635951600599,0.2174361607358879,6.016645913243647
all scored counts,Casey-like template,casey_T35_a30,Casey T35K a=3.0,35.0,148,1052.1990887367476,-0.2562674857077701,7.1094533022753215
all scored counts,FSPS/ALESS hybrid,75% ALESS,75% ALESS,,149,1199.5207513139665,-0.2131889602179415,8.050474841033331
all scored counts,baseline,FSPS,FSPS,,149,1251.473370758262,0.3136601776912623,8.399150139317195
all scored counts,Casey-like template,casey_T25_a25,Casey T25K a=2.5,25.0,148,1319.816322140588,0.2912633607178251,8.91767785230127
all scored counts,Casey-like template,casey_T35_a25,Casey T35K a=2.5,35.0,148,1471.3109551876084,-0.3364532202128003,9.941290237754112
all scored counts,modified blackbody,mbb_T40,MBB 40 K,40.0,148,1825.17001265477,-0.4003097539459226,12.332229815234934
all scored counts,Casey-like template,casey_T25_a30,Casey T25K a=3.0,25.0,148,1936.4229105221077,0.3998896658139924,13.083938584608834
all scored counts,empirical template,ALESS,ALESS,,149,1985.853614977648,-0.413555114044723,13.32787661058824
all scored counts,Casey-like template,casey_T30_a15,Casey T30K a=1.5,30.0,149,2025.5972843530485,-0.4012200072527491,13.594612646664755
all scored counts,Casey-like template,casey_T35_a20,Casey T35K a=2.0,35.0,149,2356.0630788141284,-0.5124797575661393,15.81250388465858
all scored counts,Casey-like template,casey_T40_a30,Casey T40K a=3.0,40.0,149,2644.4881734896844,-0.5466042723546567,17.748242775098554
all scored counts,Casey-like template,casey_T40_a25,Casey T40K a=2.5,40.0,149,3242.9764243438526,-0.6143873835801443,21.764942445260758
all scored counts,modified blackbody,mbb_T25,MBB 25 K,25.0,148,3327.8850876726715,0.5733413521056469,22.48571005184237
all scored counts,modified blackbody,mbb_T45,MBB 45 K,45.0,148,3589.7984167690965,-0.6367048532903705,24.255394707899303
all scored counts,Casey-like template,casey_T35_a15,Casey T35K a=1.5,35.0,149,3801.644870575401,-0.6966326145492994,25.51439510453289
all scored counts,Casey-like template,casey_T40_a20,Casey T40K a=2.0,40.0,149,4175.225812814474,-0.7867246449112155,28.02164975043271
all scored counts,Casey-like template,casey_T45_a30,Casey T45K a=3.0,45.0,148,4449.110831146805,-0.7744627791643772,30.06155966991085
all scored counts,Casey-like template,casey_T45_a25,Casey T45K a=2.5,45.0,148,4998.611965324165,-0.883484867475825,33.77440517110922
all scored counts,modified blackbody,mbb_T50,MBB 50 K,50.0,145,5185.933099189936,-0.9775173073665664,35.76505585648232
all scored counts,Casey-like template,casey_T40_a15,Casey T40K a=1.5,40.0,148,5480.595485106786,-0.928911151533361,37.03105057504585
all scored counts,Casey-like template,casey_T45_a20,Casey T45K a=2.0,45.0,145,5701.847369800007,-1.0356640375777313,39.32308530896557
all scored counts,Casey-like template,casey_T45_a15,Casey T45K a=1.5,45.0,145,6628.39132983665,-1.1263175732416042,45.71304365404586
all scored counts,modified blackbody,mbb_T20,MBB 20 K,20.0,149,7803.736694043831,0.893523968643412,52.37407177210625
