band_um,regime,ratio,N,median_log10_ratio,p16_log10_ratio,p84_log10_ratio,median_linear_ratio
250,all_positive,Wang/Jin,6227,0.06777618743331643,-0.18301475567041803,1.2398887252130797,1.1688968477291515
250,all_positive,FSPS/Jin,6227,0.15786610926242003,-0.41761285391439074,1.157444260555281,1.438355072481044
250,all_positive,FSPS/Wang,6227,-0.011306310026226868,-0.5777798464944794,0.444099875081328,0.9743022151979692
250,jin_snr3,Wang/Jin,2856,-0.03547062282868452,-0.23584587644364388,0.11320783022155524,0.9215722249391202
250,jin_snr3,FSPS/Jin,2856,-0.03991027954458416,-0.6008717566568539,0.34787291166904644,0.9121992702110581
250,jin_snr3,FSPS/Wang,2856,0.022802253713230764,-0.5709364617411773,0.4363227025622407,1.0539069141641926
250,jin_and_wang_snr3,Wang/Jin,2297,-0.0019101944960188716,-0.12481997793077691,0.13517081379920584,0.9956112733595557
250,jin_and_wang_snr3,FSPS/Jin,2297,-0.046180206567891055,-0.6092328513368589,0.3443987369002973,0.8991244205680763
250,jin_and_wang_snr3,FSPS/Wang,2297,-0.04746291331270586,-0.628548933682329,0.3547000475644469,0.8964727371978272
350,all_positive,Wang/Jin,4879,-0.012059385734660815,-0.4050300666823982,6.2525240521131575,0.9726142187273066
350,all_positive,FSPS/Jin,4879,0.2079533128529911,-0.3380929668649332,6.466856432756572,1.614185020787268
350,all_positive,FSPS/Wang,4879,0.16731509215138407,-0.369612983193229,0.685327727317392,1.4699924092777823
350,jin_snr3,Wang/Jin,1345,-0.14790165617027937,-0.47349276414385755,0.029190456819207608,0.7113745826591974
350,jin_snr3,FSPS/Jin,1345,-0.09567401420215643,-0.5520045037345143,0.26383857562841656,0.802280036885229
350,jin_snr3,FSPS/Wang,1345,0.08694255126137969,-0.46293754599995995,0.5847141962751222,1.221638050450707
350,jin_and_wang_snr3,Wang/Jin,885,-0.06041653639606008,-0.20875776725327408,0.07541385717666552,0.8701286401036847
350,jin_and_wang_snr3,FSPS/Jin,885,-0.13788417953518894,-0.5538048143579708,0.2439431149788712,0.7279739194507696
350,jin_and_wang_snr3,FSPS/Wang,885,-0.07116067457747001,-0.5244734710179624,0.3307468687010888,0.8488663644883773
500,all_positive,Wang/Jin,2008,-0.12805475923469897,-0.6224122926325115,6.224852033907428,0.7446380782113304
500,all_positive,FSPS/Jin,2008,0.1356916680054014,-0.3416595638249819,6.653129771328521,1.366758136559995
500,all_positive,FSPS/Wang,2008,0.2578858027126242,-0.2564951956799446,0.8353403820898612,1.8108638652195777
500,jin_snr3,Wang/Jin,594,-0.2864025159667257,-0.7025850035042891,-0.019280589250146956,0.5171273220720738
500,jin_snr3,FSPS/Jin,594,-0.1584979793338286,-0.6284929007898195,0.15366602181600347,0.6942278317791786
500,jin_snr3,FSPS/Wang,594,0.13855581766205388,-0.39127123950864784,0.6246904964176129,1.3758016237015032
500,jin_and_wang_snr3,Wang/Jin,265,-0.08888139782478562,-0.25263707589862966,0.05888924004697728,0.8149268033005056
500,jin_and_wang_snr3,FSPS/Jin,265,-0.21180939822396871,-0.6512899644446637,0.09530347998516789,0.6140314301924814
500,jin_and_wang_snr3,FSPS/Wang,265,-0.16002011114662706,-0.5874898814278318,0.23728325964742575,0.6917989346105533
