band_um,z_mid,N,median_ratio_log10,p16_ratio_log10,p84_ratio_log10
250,0.25,867,9.66885698869096,9.146606046711439,9.980971742603932
250,0.75,1960,10.236797734516124,9.800034288847309,10.583163719885956
250,1.25,1488,10.619305632225974,10.223077668616884,10.931616241791609
250,1.75,1084,10.887332870356659,10.476980711214074,11.227358883140194
250,2.25,359,10.998879567166584,10.586832979165115,11.36158937069843
250,2.75,110,11.206821748277324,10.542839556673556,11.533943893321581
250,3.25,24,11.027486405513592,10.640033524522659,11.562399643455361
250,3.75,4,11.45154324030377,11.17511734313806,11.693083677697453
350,0.25,416,9.80855025168734,9.15197625811986,10.18817077411317
350,0.75,1099,10.293598939402418,9.745155622869566,10.659619420069172
350,1.25,1041,10.622297619727885,10.245864753895185,10.994171842892113
350,1.75,836,10.881709405782424,10.478197023957751,11.229127765898673
350,2.25,282,11.0139918453037,10.57241117055354,11.304464347239849
350,2.75,91,11.150756265031958,10.608463241911242,11.462528211426287
350,3.25,20,11.00147028329287,10.563175964006943,11.37618511984858
350,3.75,2,11.342511338850178,11.093715703839871,11.591306973860485
500,0.25,133,9.776740453302375,9.03292260819437,10.334576173646912
500,0.75,392,10.247584246493194,9.69191723349864,10.714300506463438
500,1.25,423,10.688329579047645,10.310080374048871,11.069272005183787
500,1.75,411,10.946397291539428,10.552906514117675,11.302168404213008
500,2.25,167,11.108528384221692,10.544667783966316,11.385920467296
500,2.75,60,11.257817078476393,10.687958456796087,11.504132420457754
500,3.25,15,11.009474530550914,10.337627892491358,11.45629456725335
500,3.75,2,11.338382720946985,11.108285426113888,11.56848001578008
850,0.25,36,10.084518074342746,8.817548122903968,10.569980032752673
850,0.75,98,10.639506422462802,10.01551499623727,11.25954264496716
850,1.25,116,11.169859587354116,10.77248635439281,11.527916229982319
850,1.75,178,11.541766811603221,11.191170317694802,11.926532168998195
850,2.25,102,11.578176388034112,11.216302109255617,11.9126755514755
850,2.75,49,11.719568117735635,11.162448324142172,11.957972234764494
850,3.25,8,11.37082553753991,10.92973178020052,11.7361919450542
850,3.75,1,11.66125004805766,11.66125004805766,11.66125004805766
